"Date","Scaled_LS","Binary_LS","BH"
2021-06-09,0.00313916649888472,0.000848673496596897,-0.00147657792530375
2021-06-10,-0.000877381541951243,-0.00856841145090064,-0.00592824317276838
2021-06-11,-0.00055976775129845,-0.00403600633898464,0.0109049390655984
2021-06-13,-0.000537266911975401,0.00431609362321154,0.0300493966939399
2021-06-14,-0.000894134926822768,-0.00405116374997911,-0.00496929265132398
2021-06-15,-0.00242443931705626,-0.00323203636949371,-0.008973796071542
2021-06-16,-0.00182573722183981,-0.00666666917267371,-0.0102231655347931
2021-06-17,-0.00265693625385483,-0.00573152755116998,-0.0154491100889619
2021-06-18,0.00167629056743628,-0.000650565603636129,0.00447392561481652
2021-06-20,0.00558344365118051,0.00867903881485018,-0.172655647043389
2021-06-21,-0.000250865964113462,-0.00323287327903388,0.00664149306820485
2021-06-22,-0.00564641807858667,-0.0164343578679086,0.0165140017209371
2021-06-23,-0.000371106087582949,-0.0011077847824651,0.00474725533559277
2021-06-24,0.00616699863881377,0.0199892536416671,-0.0141723916674586
2021-06-25,-0.00218436627492306,-0.00770679438885437,0.00770980524703603
2021-06-27,-0.0284522336255438,-0.0948197451372314,0.0948197451372314
2021-06-28,-0.00136232863095896,-0.00279585079229545,0.00493303252903531
2021-06-29,0.00114874561504931,0.0020107380356773,0.00821804328580317
2021-06-30,0.000848791482699181,-0.00521316405210768,-0.00993907318026922
2021-07-01,0.00219959304650001,0.0021856458529061,0.00904438070403085
2021-07-02,0.00230818809561231,0.00814206445297541,0.0138946511182117
2021-07-04,-0.000971504940837172,-0.0171656849440179,-0.0489307426192401
2021-07-05,-0.00288277623413476,0.00187981001115067,0.00533240062430756
2021-07-06,0.00217694011029858,0.00772798834999532,0.00679813748027856
2021-07-07,-0.00434720394414004,-0.0137269914901553,-0.0190414000473326
2021-07-08,0.00201244558125814,0.00372817282838013,0.00831251826346409
2021-07-09,0.00025545154039198,-0.00290471907700752,-0.00114495254010104
2021-07-11,0.00181031348241964,0.0135665890596588,-0.0424788925022932
2021-07-12,0.00223948193577709,0.00345001724129999,-0.00396023388955232
2021-07-13,-0.00182261658901364,-0.00905566048245767,0.00554742868310458
2021-07-14,0.00169559244071838,-0.000265218090818105,-0.00817536070294745
2021-07-15,0.00100345753170447,0.0085517887810403,-0.00927151382055644
2021-07-16,-0.00650829826896154,-0.0136303286608157,-0.0107851850696359
2021-07-18,0.0129955696614991,0.0469488034848011,-0.0469488034848011
2021-07-19,0.00122751241629656,0.00624950294293001,-0.00924551253712948
2021-07-20,-0.00779331708093352,-0.0217532083570661,0.0300634155260087
2021-07-21,-0.000203262016146997,-0.000686983338484038,0.0105592938428542
2021-07-22,0.001174783755007,-0.00164555531633933,0.0132884551023939
2021-07-23,0.000753614406479477,0.00167760856623811,0.00747136883977505
2021-07-25,-0.000133801021501402,-0.010468111106333,0.0212593927770558
2021-07-26,-0.00117258362273497,0.00393378943332846,0.00218345751429114
2021-07-27,-0.000404572374155696,0.000738410084539765,0.000249099419447663
2021-07-28,0.0021614831507168,-0.00399152611650681,0.017111724622445
2021-07-29,0.00177830334614353,0.00772903054808822,0.00730559511477226
2021-07-30,-0.000757989333724781,0.0000458968364226728,0.000497879340198426
2021-08-01,-0.0019659858256668,-0.00922444454446636,-0.00922444454446636
2021-08-02,-0.000920779922173687,-0.00229083102856844,-0.00210839516537565
2021-08-03,0.00172282048895534,0.00832164952851278,0.00791840357064929
2021-08-04,0.00311208129451598,0.00965154443335131,0.00765765729960704
2021-08-05,0.00350033139646319,0.0109824951691423,0.0043089581949217
2021-08-06,0.00147505608673837,0.0040330632965545,-0.00655170126140513
2021-08-08,0.000837646828220002,0.00522671691919674,0.00522671691919674
2021-08-09,0.00294731079812939,0.00557790315465213,0.0114974199966485
2021-08-10,-0.0006776288659974,-0.00133937447119459,0.00216075958762375
2021-08-11,-0.000393843531231798,-0.000473344854568395,-0.00285955610278631
2021-08-12,0.00854754181773533,0.015203919070534,0.020847980005797
2021-08-13,0.00484455006174532,0.00795347193630339,0.00935814718729319
2021-08-15,0.0159070840105401,0.0282536302238043,0.0282536302238043
2021-08-16,-0.00207448022202713,-0.00479191611926088,-0.00629396385305342
2021-08-17,0.00470698039246836,0.00807681619241902,0.00111724446628014
2021-08-18,0.00165502149132038,0.00634400422261757,-0.00160526089924538
2021-08-19,0.0102194937545144,0.0178642901459264,0.0173652656318375
2021-08-20,-0.00728916115140893,-0.0131527111780731,0.0022208936994219
2021-08-22,0.0144090085840858,0.0208081935999522,0.0208081935999522
2021-08-23,-0.00613561236277653,-0.00859820492672356,-0.00179997368993644
