"Date","Scaled_LS","Binary_LS","BH"
2021-06-09,0.00313916649888472,0.000848673496596897,-0.00147657792530375
2021-06-10,-0.000877381541951243,-0.00856841145090064,-0.00592824317276838
2021-06-11,-0.00055976775129845,-0.00403600633898464,0.0109049390655984
2021-06-13,-0.00010745338239508,0.000863218724642308,0.00600987933878798
2021-06-14,-0.000894134926822768,-0.00405116374997911,-0.00496929265132398
2021-06-15,-0.00242443931705626,-0.00323203636949371,-0.008973796071542
2021-06-16,-0.00182573722183981,-0.00666666917267371,-0.0102231655347931
2021-06-17,-0.00265693625385483,-0.00573152755116998,-0.0154491100889619
2021-06-18,0.00167629056743628,-0.000650565603636129,0.00447392561481652
2021-06-20,0.0011166887302361,0.00173580776297003,-0.0345311294086777
2021-06-21,-0.000250865964113462,-0.00323287327903388,0.00664149306820485
2021-06-22,-0.00564641807858667,-0.0164343578679086,0.0165140017209371
2021-06-23,-0.000371106087582949,-0.0011077847824651,0.00474725533559277
2021-06-24,0.00616699863881377,0.0199892536416671,-0.0141723916674586
2021-06-25,-0.00218436627492306,-0.00770679438885437,0.00770980524703603
2021-06-27,-0.00569044672510876,-0.0189639490274463,0.0189639490274463
2021-06-28,-0.00136232863095896,-0.00279585079229545,0.00493303252903531
2021-06-29,0.00114874561504931,0.0020107380356773,0.00821804328580317
2021-06-30,0.000848791482699181,-0.00521316405210768,-0.00993907318026922
2021-07-01,0.00219959304650001,0.0021856458529061,0.00904438070403085
2021-07-02,0.00230818809561231,0.00814206445297541,0.0138946511182117
2021-07-04,-0.000194300988167434,-0.00343313698880357,-0.00978614852384803
2021-07-05,-0.00249840606958346,0.00162916867633058,0.00462141387439989
2021-07-06,0.00217694011029858,0.00772798834999532,0.00679813748027856
2021-07-07,-0.00434720394414004,-0.0137269914901553,-0.0190414000473326
2021-07-08,0.00201244558125814,0.00372817282838013,0.00831251826346409
2021-07-09,0.00025545154039198,-0.00290471907700752,-0.00114495254010104
2021-07-11,0.000362062696483928,0.00271331781193177,-0.00849577850045865
2021-07-12,0.00223948193577709,0.00345001724129999,-0.00396023388955232
2021-07-13,-0.00182261658901364,-0.00905566048245767,0.00554742868310457
2021-07-14,0.00169559244071838,-0.000265218090818105,-0.00817536070294745
2021-07-15,0.00100345753170447,0.0085517887810403,-0.00927151382055644
2021-07-16,-0.00650829826896154,-0.0136303286608157,-0.0107851850696359
2021-07-18,0.00259911393229983,0.00938976069696023,-0.00938976069696023
2021-07-19,0.00122751241629656,0.00624950294293001,-0.00924551253712948
2021-07-20,-0.00779331708093352,-0.0217532083570661,0.0300634155260087
2021-07-21,-0.000149058811841131,-0.000503787781554961,0.00774348215142644
2021-07-22,0.001174783755007,-0.00164555531633933,0.0132884551023939
2021-07-23,0.000753614406479476,0.00167760856623811,0.00747136883977505
2021-07-25,-0.0000267602043002805,-0.0020936222212666,0.00425187855541117
2021-07-26,-0.00117258362273497,0.00393378943332846,0.00218345751429114
2021-07-27,-0.000404572374155696,0.000738410084539765,0.000249099419447663
2021-07-28,0.0021614831507168,-0.00399152611650681,0.017111724622445
2021-07-29,0.00177830334614353,0.00772903054808822,0.00730559511477226
2021-07-30,-0.000757989333724781,0.0000458968364226728,0.000497879340198426
2021-08-01,-0.000116474399090864,-0.000335474831423213,-0.000324281160339773
2021-08-02,-0.000131945624616973,0.00135748643343951,0.00156701216985583
2021-08-03,-0.000124856809083709,-0.0000329571813058501,-0.000264918734344209
2021-08-04,0.00151591854703024,0.0036348617493615,0.00157490756901858
2021-08-05,0.00178934864669936,0.00353659649831949,-0.00332673123194997
2021-08-06,0.00260734899590855,0.00145689715468038,-0.00705237281914718
2021-08-08,0.0000662191303325258,0.0000738958342755746,0.0000582028080735992
2021-08-09,0.0000384732671162749,-0.00294445510220117,0.00126688903075172
2021-08-10,-0.00183806545665495,-0.00311153890213432,0.00065075924942343
2021-08-11,0.00177073941841253,0.00497955006929673,0.00273161663982184
2021-08-12,0.000910465654484648,0.00215386734628167,0.00806085119965415
2021-08-13,0.000651164935789375,-0.00156754031632961,-0.00000754556846208461
2021-08-15,0.00109884633603951,0.000562281629776776,0.000499211634032208
2021-08-16,-0.00126070195846213,-0.00351426066041076,-0.00426166736488685
2021-08-17,0.000939576057072341,-0.00143631772179949,-0.00634798737834282
2021-08-18,-0.000299857235136315,-0.00217911673707183,-0.00763341574162454
2021-08-19,0.00277210273953637,0.0042373196150469,0.00427951406735883
2021-08-20,-0.00430593312069969,-0.00637360084989531,0.00537281822075025
2021-08-22,0.000946443796910806,0.000672570819986117,0.000656607286142682
