"Date","Scaled_LO","Binary_LO","BH"
2021-06-09,0.00272883649129979,-0.000313952214353427,-0.00147657792530375
2021-06-10,-0.000458428806700535,-0.00724832731183451,-0.00592824317276838
2021-06-11,0.000368806712734188,0.00336779969664021,0.0109049390655984
2021-06-13,0.000248307518421298,0.00336988236504848,0.00600987933878798
2021-06-14,-0.000909809755242558,-0.00451022820065154,-0.00496929265132398
2021-06-15,-0.00245411449061672,-0.00616958288718452,-0.008973796071542
2021-06-16,-0.00192346744609321,-0.00844491735373339,-0.0102231655347931
2021-06-17,-0.00331591059330264,-0.0107903188200659,-0.0154491100889619
2021-06-18,0.00213438130409042,0.00177834667225686,0.00447392561481652
2021-06-20,-0.00225378353231936,-0.0163976608228539,-0.0345311294086777
2021-06-21,0.00127852263495128,0.00163764322791882,0.00664149306820485
2021-06-22,-0.000969044725235504,-0.0000935114068190577,0.0165140017209371
2021-06-23,0.000713677311428391,0.00175306860989717,0.00474725533559277
2021-06-24,0.00187599224362555,0.0029084309871042,-0.0141723916674586
2021-06-25,0.000452874166948291,0.00000150542909083125,0.00770980524703603
2021-06-27,0,0,0.0189639490274463
2021-06-28,-0.000412896804752844,0.00100192420170326,0.00493303252903531
2021-06-29,0.00144019156396861,0.00511439066074024,0.00821804328580317
2021-06-30,0.000406672528544056,-0.00764278528285511,-0.00993907318026922
2021-07-01,0.00264135416009047,0.00554834661180181,0.00904438070403085
2021-07-02,0.00320383474316899,0.0109516911189269,0.0138946511182117
2021-07-04,-0.000852826726169735,-0.0066096427563258,-0.00978614852384803
2021-07-05,-0.00197790308781807,0.00312529127536524,0.00462141387439989
2021-07-06,0.00203892062143423,0.00726306291513694,0.00679813748027856
2021-07-07,-0.00490883852376177,-0.016384195768744,-0.0190414000473326
2021-07-08,0.00262549895919715,0.00602034554592211,0.00831251826346409
2021-07-09,0.000521871776367312,-0.00215816914188762,-0.00114495254010104
2021-07-11,-0.000250244276908622,-0.00289123034426344,-0.00849577850045865
2021-07-12,0.00171744885606858,-0.00032177499079283,-0.00396023388955232
2021-07-13,-0.00113519969887474,-0.00188744923300988,0.00554742868310457
2021-07-14,0.0006066971376532,-0.00428695606354944,-0.00817536070294745
2021-07-15,-0.000207193713235109,-0.000426529186424733,-0.00927151382055644
2021-07-16,-0.00587354932765148,-0.0122077568652258,-0.0107851850696359
2021-07-18,0,0,-0.00938976069696023
2021-07-19,-0.00178171479436644,-0.00149800479709973,-0.00924551253712948
2021-07-20,0.0026932234465537,0.00408843691780466,0.0300634155260087
2021-07-21,0.000751755414331529,0.00348651385160241,0.00774348215142644
2021-07-22,0.00248563050992694,0.00582144989302729,0.0132884551023939
2021-07-23,0.00148867332166955,0.00450782203633991,0.00747136883977505
2021-07-25,0.000128786177497087,0.00107912816707228,0.00425187855541117
2021-07-26,-0.00148900530167124,0.00299195680714313,0.00218345751429114
2021-07-27,-0.000277779162805773,0.000493754751993714,0.000249099419447663
2021-07-28,0.00322922114906188,0.00656009925296908,0.017111724622445
2021-07-29,0.00171618302106341,0.0073839794980969,0.00730559511477226
2021-07-30,-0.000751368892803791,0.000205221421643883,0.000497879340198426
2021-08-01,-0.000030964458513325,-0.000629545168271506,-0.000324281160339773
2021-08-02,-0.00114173740536994,-0.000415101673794008,0.00156701216985583
2021-08-03,0.00122137170961604,0.00111007627032473,-0.000264918734344209
2021-08-04,0.00186520897277884,0.00324803345428395,0.00157490756901858
2021-08-05,0.00141414355555386,0.00156673815492044,-0.00332673123194997
2021-08-06,0.000843517115279965,-0.00162565348203437,-0.00705237281914718
2021-08-08,-0.000332339935193649,-0.000116053184650077,0.0000582028080735992
2021-08-09,0.00254432735340065,0.000882646233971846,0.00126688903075172
2021-08-10,-0.000236556985677105,-0.00107955802466902,0.00065075924942343
2021-08-11,-0.00088723072443944,0.00237990040629107,0.00273161663982184
2021-08-12,0.00662568390522938,0.00691571136382422,0.00806085119965415
2021-08-13,0.00134331126395688,-0.000766300648443763,-0.00000754556846208461
2021-08-15,-0.000113374713589376,-0.0000739596180479615,0.000499211634032208
2021-08-16,-0.00214006203738407,-0.00411571948701638,-0.00426166736488685
2021-08-17,0.000643229485080412,-0.0030488294958799,-0.00634798737834282
2021-08-18,0.00063419996901908,-0.00266999814494944,-0.00763341574162454
2021-08-19,0.00374435904061053,0.00529653771233989,0.00427951406735883
2021-08-20,-0.0014545594795418,-0.000749791340481882,0.00537281822075025
2021-08-22,0.00143450535028643,0.000875051635660365,0.000656607286142682
2021-08-23,-0.00256836299024406,0.00260861247228001,0.00711700951779475
2021-08-24,0.00143004230573463,0.00232413231109819,0.00122344803415577
2021-08-25,-0.00197766626467232,-0.00324526352306598,-0.00265002893647793
2021-08-26,0.00495969165811781,0.00679920707817655,0.0073102004823265
2021-08-27,0.00298501025788916,0.00725721046066161,0.0076054786796803
2021-08-29,0.00227228159547626,0.000292863527895409,0.000922070966785796
2021-08-30,0.00148274233694164,0.00156383830198178,0.0012859041137502
2021-08-31,0.00392095272087264,0.00290409439588859,0.0017417747778122
2021-09-01,0.00263751400394227,0.00616099143493357,0.00616142887075019
2021-09-02,0.0022979686878663,0.00434769561682902,0.00775337028546685
2021-09-03,0.000865365081566396,0.00196175404809317,0.00214422621036857
2021-09-05,0.00118617600069856,0.00181493070522525,0.00180182600169923
2021-09-06,-0.00297002836070197,-0.00499267193839147,-0.00630841709456305
2021-09-07,0.00207530831176477,0.00421919006442415,0.00424474758951254
2021-09-08,-0.000383350052868685,-0.00131426127956437,-0.000751357920227345
2021-09-09,-0.000167599903891733,0.000857672205433789,-0.0000492236853711181
2021-09-10,-0.00120263374562902,-0.000293451064662339,-0.000556202390281384
2021-09-12,-0.000349888763196234,-0.00127142546243438,-0.00121480334012861
2021-09-13,0.000207273584853037,0.00136545453851929,0.00230696708986433
2021-09-14,0.00337009615051305,0.00804651688202049,0.0073401602576041
2021-09-15,-0.000410731746133834,-0.00117555077110177,-0.004581178209609
2021-09-16,-0.00238584989339357,-0.00593748791885657,-0.00749301599315724
2021-09-17,-0.00517238478170699,-0.0120353255226992,-0.0128775645152192
2021-09-19,-0.00146655597749278,-0.0047482677185283,-0.0045411590950065
2021-09-20,0.00060639346602223,0.00175948344162906,0.00279611687981951
2021-09-21,0.00116594577489545,0.00453301778265326,0.0107756182040852
2021-09-22,0.0029771106230435,0.00836999576517979,0.00863671608719789
2021-09-23,-0.000271765759566521,-0.00217944148181421,-0.00270081256343253
2021-09-24,0.000289225151793563,0.000513116608815755,0.00206096367730061
2021-09-26,-0.0000335986718688848,-0.000619035448838108,-0.00101527236775784
2021-09-27,-0.00235956464171236,-0.0065962846097618,-0.00892070408295979
2021-09-28,-0.000606731156817996,-0.0012249785287628,-0.00295818336415343
