"MonthEnd","Coins","Count"
2021-01-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ATOMUSDT,BATUSDT,BNBUSDT,BTCUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,NANOUSDT,NEOUSDT,NPXSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,PERLUSDT,QTUMUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",55
2021-02-28,"ADAUSDT,ALGOUSDT,ANKRUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RVNUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",65
2021-03-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",71
2021-04-30,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",76
2021-05-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",79
2021-06-30,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTSUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",86
2021-07-31,"ADAUSDT,AIONUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTSUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,COTIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",89
2021-08-31,"ADAUSDT,AIONUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTSUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,COTIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DATAUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STPTUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",92
2021-09-30,"ADAUSDT,AIONUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTSUSDT,BTTUSDT,CELRUSDT,CHRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,COTIUSDT,CTSIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DATAUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,GXSUSDT,HBARUSDT,HIVEUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STPTUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",96
2021-10-31,"ADAUSDT,AIONUSDT,ALGOUSDT,ANKRUSDT,ARDRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUPUSDT,BTCUSDT,BTSUSDT,BTTUSDT,CELRUSDT,CHRUSDT,CHZUSDT,COCOSUSDT,COSUSDT,COTIUSDT,CTSIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DATAUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,GXSUSDT,HBARUSDT,HIVEUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,KNCUSDT,LINKUSDT,LRCUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MDTUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,REPUSDT,RLCUSDT,RVNUSDT,STMXUSDT,STPTUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",103
