"Date","Dynamic_BLS_EW"
2019-05-01,0.000868324072511473
2019-05-02,0.016171678329646
2019-05-03,0.0162131157662603
2019-05-06,-0.0203694730019275
2019-05-07,-0.0103230680161581
2019-05-08,0.00351475343827399
2019-05-09,-0.00249144494769735
2019-05-10,0.0211829830502321
2019-05-13,0.0545053059759949
2019-05-14,0.00767539273141913
2019-05-15,0.117937621597348
2019-05-16,-0.0229509831940798
2019-05-17,-0.0576075178639474
2019-05-20,-0.0159849918223087
2019-05-21,-0.00691907995691809
2019-05-22,-0.0133485702983669
2019-05-23,0.0170041163437488
2019-05-24,0.0513879952721788
2019-05-27,0.0288799939032935
2019-05-28,-0.000697180008085652
2019-05-29,0.0155632245626581
2019-05-30,-0.0590383792919237
2019-05-31,0.0531385087984793
2019-06-03,-0.0812210157380657
2019-06-04,-0.049457731941401
2019-06-05,0.0180898349021695
2019-06-06,0.0177196473020698
2019-06-07,0.00706648732273778
2019-06-10,0.0466198237675549
2019-06-11,0.00462156131037679
2019-06-12,0.0485818238364516
2019-06-13,-0.00554496039896963
2019-06-14,0.00869345151646364
2019-06-17,0.0214483492436061
2019-06-18,-0.0129686582776833
2019-06-19,0.0133845515172501
2019-06-20,0.0132641712453378
2019-06-21,0.0516813610431895
2019-06-24,0.0162435922821217
2019-06-25,0.0299559706740758
2019-06-26,0.0265295454510185
2019-06-27,-0.107571768238777
2019-06-28,0.0475696086403834
2019-07-01,0.00701012787958057
2019-07-02,-0.0259160957188439
2019-07-03,0.0613478177801145
2019-07-04,-0.0349059968958421
2019-07-05,-0.00489815188071729
2019-07-08,0.0317807002106033
2019-07-09,-0.0125191696901576
2019-07-10,-0.0570580371056847
2019-07-11,-0.067427678349299
2019-07-12,0.0156656825168609
2019-07-15,0.0042221032279901
2019-07-16,0.0827088552407143
2019-07-17,-0.0646530769355316
2019-07-18,-0.0705723162804989
2019-07-19,0.00829008770654744
2019-07-22,0.0276648204541817
2019-07-23,0.0111950324476832
2019-07-24,-0.0294032004910591
2019-07-25,0.000261014561554473
2019-07-26,-0.00324141848911321
2019-07-29,0.0044983431703036
2019-07-30,0.00314244781286177
2019-07-31,-0.031134599940785
2019-08-01,0.000398542052455653
2019-08-02,-0.00395423085569944
2019-08-05,-0.0119795161547509
2019-08-06,0.0116909223885229
2019-08-07,0.0254365862261108
2019-08-08,0.0249997657848204
2019-08-09,0.0290004334996277
2019-08-12,0.0192742405703323
2019-08-13,-0.000972361707953414
2019-08-14,0.0121359057782008
2019-08-15,0.0320050897739515
2019-08-16,0.0109435578243616
2019-08-19,-0.018659716526207
2019-08-20,0.0107645870749653
2019-08-21,0.0108571357767389
2019-08-22,-0.0127540409862492
2019-08-23,-0.00853214645448254
2019-08-26,-0.00439285703607759
2019-08-27,0.0110397955886606
2019-08-28,0.0583181107870958
2019-08-29,0.0350061592791256
2019-08-30,-0.00571945021417543
2019-09-02,-0.039006575832487
2019-09-03,-0.0054237499838148
2019-09-04,0.022423312749163
2019-09-05,0.00696338199925741
2019-09-06,0.0153014804153035
2019-09-09,0.00697802667713922
2019-09-10,0.00692971040573599
2019-09-11,0.0184197071751817
2019-09-12,-0.00335537704599146
2019-09-13,-0.000889608998295773
2019-09-16,-0.0116600946207484
2019-09-17,-0.0332888747901877
2019-09-18,-0.0464818430351194
2019-09-19,0.0256288507770244
2019-09-20,0.00504432323792682
2019-09-23,0.0311146522646181
2019-09-24,0.12448897671113
2019-09-25,-0.0311916294788136
2019-09-26,0.01050223431457
2019-09-27,0.0014384102187946
2019-09-30,-0.0490391841829813
2019-10-01,0.0143983796290105
2019-10-02,-0.0157465822167815
2019-10-03,0.0200188524554485
2019-10-04,-0.00607647958443952
2019-10-07,-0.057921483921162
2019-10-08,-0.000871892603466456
2019-10-09,-0.0459056044435494
2019-10-10,0.0212615155480789
2019-10-11,0.033072003375291
2019-10-14,-0.023974841962036
2019-10-15,0.0224178938137269
2019-10-16,0.0298704269693811
2019-10-17,-0.0191852632114952
2019-10-18,0.0178504723657447
2019-10-21,0.00366597718518193
2019-10-22,0.0130362159329241
2019-10-23,0.049260182960306
2019-10-24,-0.00746563766091833
2019-10-25,-0.121253984517801
2019-10-28,-0.0135864136457702
2019-10-29,-0.00226559072085827
2019-10-30,-0.00690483244342407
2019-10-31,-0.010745021980568
2019-11-01,-0.00663544864783625
2019-11-04,-0.0262775821752246
2019-11-05,-0.0102275437138186
2019-11-06,-0.00386748959374517
2019-11-07,-0.0153564350167875
2019-11-08,-0.0106650259436625
2019-11-11,0.0112809368151038
2019-11-12,-0.0101692682494466
2019-11-13,0.00987961267188713
2019-11-14,-0.00028251165710453
2019-11-15,-0.00772249139693783
2019-11-18,0.0440678967473522
2019-11-19,0.0118781119267168
2019-11-20,0.0136877553490953
2019-11-21,0.0527267390953318
2019-11-22,0.0494397666980063
2019-11-25,-0.0246557903700061
2019-11-26,-0.0239147021681021
2019-11-27,-0.0298832099824153
2019-11-28,0.00879297336271719
2019-11-29,-0.0374925015924972
2019-12-02,0.0228018259361674
2019-12-03,0.00175268906692481
2019-12-04,0.0231395100978145
2019-12-05,-0.019690724416388
2019-12-06,-0.0103630495011057
2019-12-09,0.022043071069022
2019-12-10,0.0200251411887909
2019-12-11,-0.000125024545289447
2019-12-12,-0.00143221597247824
2019-12-13,-0.0132073339241049
2019-12-16,0.0561597885063063
2019-12-17,0.0704082420285942
2019-12-18,-0.0811886775716882
2019-12-19,0.0191617382364439
2019-12-20,-0.0121978469578119
2019-12-23,0.0367303593075573
2019-12-24,0.00146071415624467
