"Date","Dynamic_BLS_EW"
2019-06-03,-0.0812210157380657
2019-06-04,-0.049457731941401
2019-06-05,0.0180898349021695
2019-06-06,0.0177196473020698
2019-06-07,0.00706648732273778
2019-06-10,0.0466198237675549
2019-06-11,0.00462156131037679
2019-06-12,0.0485818238364516
2019-06-13,-0.00554496039896963
2019-06-14,0.00869345151646364
2019-06-17,0.0214483492436061
2019-06-18,-0.0129686582776833
2019-06-19,0.0133845515172501
2019-06-20,0.0132641712453378
2019-06-21,0.0516813610431895
2019-06-24,0.0162435922821217
2019-06-25,0.0299559706740758
2019-06-26,0.0265295454510185
2019-06-27,-0.107571768238777
2019-06-28,0.0475696086403834
2019-07-01,0.00701012787958057
2019-07-02,-0.0259160957188439
2019-07-03,0.0613478177801145
2019-07-04,-0.0349059968958421
2019-07-05,-0.00489815188071729
2019-07-08,0.0317807002106033
2019-07-09,-0.0125191696901576
2019-07-10,-0.0570580371056847
2019-07-11,-0.067427678349299
2019-07-12,0.0156656825168609
2019-07-15,0.0042221032279901
2019-07-16,0.0827088552407143
2019-07-17,-0.0646530769355316
2019-07-18,-0.0705723162804989
2019-07-19,0.00829008770654744
2019-07-22,0.0276648204541817
2019-07-23,0.0111950324476832
2019-07-24,-0.0294032004910591
2019-07-25,0.000261014561554473
2019-07-26,-0.00324141848911321
2019-07-29,0.0044983431703036
2019-07-30,0.00314244781286177
2019-07-31,-0.031134599940785
2019-08-01,-0.00168072892861357
2019-08-02,-0.00626624104800335
2019-08-05,-0.00927101103303287
2019-08-06,0.00355722580611109
2019-08-07,0.0292960726391365
2019-08-08,0.0227244958807
2019-08-09,0.0221936825927156
2019-08-12,0.0181561157114258
2019-08-13,-0.00589706317001712
2019-08-14,0.000785645601516993
2019-08-15,0.0315768394360588
2019-08-16,0.00589321215017669
2019-08-19,-0.0110753533481478
2019-08-20,0.00726484550892452
2019-08-21,0.0036140968012027
2019-08-22,-0.0112887849264709
2019-08-23,-0.0052779458241192
2019-08-26,-0.00542915714991774
2019-08-27,0.00835430561404866
2019-08-28,0.0499170080254211
2019-08-29,0.0313958803435838
