"MonthEnd","Coins","Count"
2021-03-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",68
2021-04-30,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",72
2021-05-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,CTXCUSDT,CVCUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZILUSDT,ZRXUSDT",72
2021-06-30,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,CTXCUSDT,CVCUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,XLMUSDT,XRPUSDT,ZILUSDT,ZRXUSDT",76
2021-07-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COTIUSDT,CTXCUSDT,CVCUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,XLMUSDT,XRPUSDT,ZILUSDT,ZRXUSDT",78
2021-08-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHZUSDT,COCOSUSDT,COTIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TROYUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",82
2021-09-30,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BEAMUSDT,BNBUSDT,BNTUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHRUSDT,CHZUSDT,COCOSUSDT,COTIUSDT,CTSIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOCKUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,GXSUSDT,HBARUSDT,HIVEUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KAVAUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STXUSDT,TCTUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",86
2021-10-31,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARDRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BNBUSDT,BNTUSDT,BTCDOWNUSDT,BTCUPUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHRUSDT,CHZUSDT,COCOSUSDT,COTIUSDT,CTSIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,GXSUSDT,HBARUSDT,HIVEUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,KEYUSDT,LINKUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MDTUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,NULSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,PERLUSDT,QTUMUSDT,RENUSDT,RLCUSDT,RVNUSDT,STMXUSDT,STPTUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XMRUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",89
2021-11-30,"ADAUSDT,ALGOUSDT,ANKRUSDT,ARDRUSDT,ARPAUSDT,ATOMUSDT,BANDUSDT,BATUSDT,BCHUSDT,BNBUSDT,BNTUSDT,BTCDOWNUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHRUSDT,CHZUSDT,COCOSUSDT,COTIUSDT,CTSIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HIVEUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,IOTXUSDT,LINKUSDT,LRCUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MATICUSDT,MBLUSDT,MDTUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,PERLUSDT,PNTUSDT,QTUMUSDT,RENUSDT,RVNUSDT,SCUSDT,STMXUSDT,STPTUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,VITEUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZENUSDT,ZILUSDT",86
2021-12-31,"ADAUPUSDT,ADAUSDT,ALGOUSDT,ANKRUSDT,ANTUSDT,ARDRUSDT,ARPAUSDT,ATOMUSDT,AUDUSDT,BATUSDT,BCHUSDT,BNBUSDT,BNTUSDT,BTCDOWNUSDT,BTCUPUSDT,BTCUSDT,BTTUSDT,CELRUSDT,CHRUSDT,CHZUSDT,COCOSUSDT,COTIUSDT,CTSIUSDT,CTXCUSDT,CVCUSDT,DASHUSDT,DENTUSDT,DGBUSDT,DOGEUSDT,DREPUSDT,DUSKUSDT,ENJUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,FTTUSDT,FUNUSDT,GTOUSDT,HBARUSDT,HIVEUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTXUSDT,JSTUSDT,LRCUSDT,LSKUSDT,LTCUSDT,LTOUSDT,MANAUSDT,MATICUSDT,MBLUSDT,MDTUSDT,MFTUSDT,MITHUSDT,MTLUSDT,NANOUSDT,NEOUSDT,NKNUSDT,NPXSUSDT,OGNUSDT,OMGUSDT,ONEUSDT,QTUMUSDT,RENUSDT,RVNUSDT,SCUSDT,SOLUSDT,SRMUSDT,STMXUSDT,STPTUSDT,STXUSDT,TFUELUSDT,THETAUSDT,TOMOUSDT,TRXUSDT,VETUSDT,VITEUSDT,VTHOUSDT,WANUSDT,WAVESUSDT,WINUSDT,WRXUSDT,WTCUSDT,XLMUSDT,XRPUSDT,ZENUSDT,ZILUSDT",89
