"Date","Dynamic_BLO_EW"
2019-06-03,-0.0812210157380657
2019-06-04,-0.049457731941401
2019-06-05,0.0247909428651846
2019-06-06,0.0232942675509134
2019-06-07,0.0204215164461639
2019-06-10,0.0760743439795961
2019-06-11,0.00462156131037679
2019-06-12,0.0485818238364516
2019-06-13,-0.00554496039896963
2019-06-14,0.00869345151646364
2019-06-17,0.0214483492436061
2019-06-18,-0.0129686582776833
2019-06-19,0.0133845515172501
2019-06-20,0.0132641712453378
2019-06-21,0.0516813610431895
2019-06-24,0.0162435922821217
2019-06-25,0.0299559706740758
2019-06-26,0.0265295454510185
2019-06-27,-0.107571768238777
2019-06-28,0.0475696086403834
2019-07-01,0.00701012787958057
2019-07-02,-0.0259160957188439
2019-07-03,0.0613478177801145
2019-07-04,-0.0349059968958421
2019-07-05,-0.00489815188071729
2019-07-08,0.0317807002106033
2019-07-09,-0.0125191696901576
2019-07-10,-0.0570580371056847
2019-07-11,-0.067427678349299
2019-07-12,0.0476039219921781
2019-07-15,0.0653163203324494
2019-07-16,-0.129086275870213
2019-07-17,0.0241885505620476
2019-07-18,0.099218859899544
2019-07-19,-0.0115618848309426
2019-07-22,-0.00443413381613067
2019-07-23,-0.0455245355740749
2019-07-24,-0.0164555016600766
2019-07-25,0.00764640661897731
2019-07-26,-0.00321989168012171
2019-07-29,-0.00355288559289191
2019-07-30,0.00700173755001243
2019-07-31,0.0528837366216117
2019-08-01,0.0292107657037872
2019-08-02,-0.0149364562215624
2019-08-05,0.0823086347345605
2019-08-06,-0.0244170045060575
2019-08-07,0.0579563249374343
2019-08-08,0.0252667050846341
2019-08-09,-0.0257030425092037
2019-08-12,-0.00762575278848798
2019-08-13,-0.0342499666005027
2019-08-14,-0.0265963932113168
2019-08-15,-0.0243698807814469
2019-08-16,-0.00875286210172199
2019-08-19,0.0590640335778974
2019-08-20,-0.0203770936819525
2019-08-21,-0.0484003570255724
2019-08-22,-0.00420899239541861
2019-08-23,0.0286805387786786
2019-08-26,0.0226330490234838
2019-08-27,-0.0180481573429102
2019-08-28,-0.0455618774576462
2019-08-29,-0.0228947639131776
