"Date","Dynamic_BLO_EW"
2019-05-01,-0.00282163120725746
2019-05-02,0.0347210596077571
2019-05-03,0.0432198648026588
2019-05-06,-0.016386994822101
2019-05-07,-0.0195646779990139
2019-05-08,0.00801134621785596
2019-05-09,-0.0136196694490251
2019-05-10,0.0297108654859979
2019-05-13,0.0784287471326559
2019-05-14,0.0442084368553474
2019-05-15,0.117937621597348
2019-05-16,-0.0229509831940798
2019-05-17,-0.0576075178639474
2019-05-20,-0.0159849918223087
2019-05-21,-0.00691907995691809
2019-05-22,-0.0133485702983669
2019-05-23,0.0170041163437488
2019-05-24,0.0513879952721788
2019-05-27,0.0288799939032935
2019-05-28,-0.000697180008085652
2019-05-29,0.0155632245626581
2019-05-30,-0.0590383792919237
2019-05-31,0.0531385087984793
2019-06-03,-0.0812210157380657
2019-06-04,-0.049457731941401
2019-06-05,0.0247909428651846
2019-06-06,0.0232942675509134
2019-06-07,0.0204215164461639
2019-06-10,0.0760743439795961
2019-06-11,0.00462156131037679
2019-06-12,0.0485818238364516
2019-06-13,-0.00554496039896963
2019-06-14,0.00869345151646364
2019-06-17,0.0214483492436061
2019-06-18,-0.0129686582776833
2019-06-19,0.0133845515172501
2019-06-20,0.0132641712453378
2019-06-21,0.0516813610431895
2019-06-24,0.0162435922821217
2019-06-25,0.0299559706740758
2019-06-26,0.0265295454510185
2019-06-27,-0.107571768238777
2019-06-28,0.0475696086403834
2019-07-01,0.00701012787958057
2019-07-02,-0.0259160957188439
2019-07-03,0.0613478177801145
2019-07-04,-0.0349059968958421
2019-07-05,-0.00489815188071729
2019-07-08,0.0317807002106033
2019-07-09,-0.0125191696901576
2019-07-10,-0.0570580371056847
2019-07-11,-0.067427678349299
2019-07-12,0.0476039219921781
2019-07-15,0.0653163203324494
2019-07-16,-0.129086275870213
2019-07-17,0.0241885505620476
2019-07-18,0.099218859899544
2019-07-19,-0.0115618848309426
2019-07-22,-0.00443413381613067
2019-07-23,-0.0455245355740749
2019-07-24,-0.0164555016600766
2019-07-25,0.00764640661897731
2019-07-26,-0.00321989168012171
2019-07-29,-0.00355288559289191
2019-07-30,0.00700173755001243
2019-07-31,0.0528837366216117
2019-08-01,0.0292107657037872
2019-08-02,-0.0149364562215624
2019-08-05,0.0823086347345605
2019-08-06,-0.0244170045060575
2019-08-07,0.0579563249374343
2019-08-08,0.0252667050846341
2019-08-09,-0.0257030425092037
2019-08-12,-0.00762575278848798
2019-08-13,-0.0342499666005027
2019-08-14,-0.0265963932113168
2019-08-15,-0.0243698807814469
2019-08-16,-0.00875286210172199
2019-08-19,0.0590640335778974
2019-08-20,-0.0203770936819525
2019-08-21,-0.0484003570255724
2019-08-22,-0.00420899239541861
2019-08-23,0.0286805387786786
2019-08-26,0.0226330490234838
2019-08-27,-0.0180481573429102
2019-08-28,-0.0455618774576462
2019-08-29,-0.0228947639131776
2019-09-03,0.0266228239845261
2019-09-04,-0.00454627668794416
2019-09-05,-0.000239424170674463
2019-09-06,-0.025155970614767
2019-09-09,-0.00751937641000344
2019-09-10,-0.0198939738642276
2019-09-11,0.00595950743453022
2019-09-12,0.0252679328196663
2019-09-13,-0.00700431396609325
2019-09-16,-0.00492136971328905
2019-09-17,-0.00619335480050842
2019-09-18,0.00418841984784052
2019-09-19,0.0281546283146449
2019-09-20,-0.00871199507283787
2019-09-23,-0.0397451623687037
2019-09-24,-0.176263102985742
2019-10-15,-0.0291990446395531
2019-10-16,-0.0182958522471326
2019-10-17,0.0648053369100985
2019-10-18,-0.0252925382039977
2019-10-21,-0.00677193221261818
2019-10-22,-0.00483091787439616
2019-10-23,-0.0599049783102664
2019-10-28,-0.0301468253612104
2019-10-29,0.0189809264760523
2019-10-30,-0.0209216416982507
2019-10-31,-0.0190053741878968
2019-11-01,0.00368944158189079
2019-11-04,0.019427204966611
2019-11-05,-0.000465027939217696
2019-11-06,-0.000267181514993886
2019-11-07,-0.025667946100467
2019-11-08,-0.0363410666467418
2019-11-11,-0.0100770755462823
2019-11-12,0.0193717749456811
2019-11-13,0.0227110687069596
2019-11-14,-0.0187137354052698
2019-11-15,-0.0420490636927714
2019-11-18,-0.0292856357111946
2019-11-19,0.0170694601607463
2019-11-20,-0.00899352762664885
2019-11-21,-0.02005600286968
2019-11-22,-0.063596632070616
2019-12-10,0.000199880071956704
2019-12-11,0.000499600319744387
2019-12-12,-0.000199740337561094
2019-12-13,-0.0000998901208673075
2019-12-16,0.00149895073448603
2019-12-17,-0.000898024346437709
2019-12-18,-0.00199740337561183
2019-12-24,-0.0000999200639488773
2019-12-25,0.00089937044069166
2019-12-26,0.000099840255590955
2019-12-27,-0.000399321154038068
2019-12-30,-0.000907716672602366
2019-12-31,-0.0138850350504361
2020-01-01,0.000801921276422479
2020-01-02,-0.0305540135450205
2020-01-03,-0.00219320107666254
2020-01-06,0.0154265115561295
2020-01-07,-0.00290355081097968
2020-01-08,-0.00951287471275736
2020-01-09,0.00365439767782997
2020-01-10,0.0443018650958755
2020-01-13,-0.024709843251566
2020-01-14,0.170545255031824
2020-01-15,0.0283886538214821
2020-01-16,-0.00663147591959079
2020-01-17,0.0483810530358016
2020-01-20,0.00623950809462293
2020-01-21,0.0198512874590177
2020-01-22,0.000367237519966056
2020-01-23,-0.0472891372789977
2020-01-24,0.00511333321099336
2020-01-27,0.0400166400467724
2020-01-28,0.0488345090110995
2020-01-29,0.0151448101319181
2020-01-30,0.0418634056307171
2020-01-31,-0.0121429341823385
2020-02-03,0.0191815022841675
2020-02-04,0.0312755104607534
2020-02-05,0.0345885349279074
2020-02-06,0.0294219960614033
2020-02-07,-0.00548720088924283
2020-02-10,-0.0220456080369644
2020-02-11,0.0438277818400355
2020-02-12,0.0484090661340831
2020-02-13,0.00225363186395555
2020-02-14,0.0429258779106057
2020-02-17,-0.00885428316254151
2020-02-18,0.0452153671177659
2020-02-19,-0.0840005259996086
2020-02-20,-0.00106935344796677
2020-02-21,0.0220034777275608
2020-02-24,-0.0488421380128457
2020-02-25,-0.0570227320665073
2020-02-26,-0.0998509125515811
2020-02-27,0.0136078786944478
2020-02-28,-0.00636833810467548
2020-03-02,-0.00219692432787955
2020-03-03,0.0185778680071873
2020-03-04,-0.0201069325953934
2020-03-05,0.116800135572277
2020-03-06,0.0213099260769035
2020-03-09,0.125043058904581
2020-03-10,-0.0118037292125404
2020-03-11,-0.0153922905806581
2020-03-12,-0.451559389515594
2020-03-16,-0.00438901752490606
2020-03-23,-0.00415111066639984
2020-03-30,-0.00169950534929569
2020-03-31,-0.00120156203063981
2020-04-02,0.0237024928483858
2020-04-03,-0.0343313373253493
2020-04-06,0.0904761904761904
2020-04-07,-0.0274645243429877
2020-04-08,0.0175455367479126
