"MonthEnd","Coins","Count"
2020-02-29,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TRXUSDT,TUSDUSDT,VETUSDT,XLMUSDT,XRPUSDT",19
2020-03-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TRXUSDT,TUSDUSDT,VETUSDT,XLMUSDT,XRPUSDT",19
2020-04-30,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,IOTAUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,XLMUSDT,XRPUSDT",20
2020-05-31,"ADAUSDT,BNBUSDT,BTCUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WAVESUSDT,XLMUSDT,XRPUSDT",22
2020-06-30,"ADAUSDT,BNBUSDT,BTCUSDT,BTTUSDT,EOSUSDT,ETCUSDT,ETHUSDT,ICXUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONGUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WAVESUSDT,XLMUSDT,XRPUSDT",24
2020-07-31,"ADAUSDT,BATUSDT,BNBUSDT,BTCUSDT,BTTUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,HOTUSDT,ICXUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,NEOUSDT,NULSUSDT,ONGUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WAVESUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZILUSDT,ZRXUSDT",30
2020-08-31,"ADAUSDT,BATUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,DASHUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,MITHUSDT,NANOUSDT,NEOUSDT,NULSUSDT,OMGUSDT,ONGUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,THETAUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WAVESUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",39
2020-09-30,"ADAUSDT,ATOMUSDT,BATUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,DASHUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MITHUSDT,NANOUSDT,NEOUSDT,NULSUSDT,OMGUSDT,ONGUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,THETAUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WAVESUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",41
2020-10-31,"ADAUSDT,ATOMUSDT,BATUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,DASHUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MITHUSDT,NANOUSDT,NEOUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TFUELUSDT,THETAUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WAVESUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",44
2020-11-30,"ADAUSDT,ALGOUSDT,ATOMUSDT,BATUSDT,BNBUSDT,BTCUSDT,BTTUSDT,CELRUSDT,DASHUSDT,DOGEUSDT,ENJUSDT,EOSUSDT,ETCUSDT,ETHUSDT,FETUSDT,FTMUSDT,GTOUSDT,HOTUSDT,ICXUSDT,IOSTUSDT,IOTAUSDT,LINKUSDT,LTCUSDT,MATICUSDT,MITHUSDT,NANOUSDT,NEOUSDT,NULSUSDT,OMGUSDT,ONEUSDT,ONGUSDT,ONTUSDT,PAXUSDT,QTUMUSDT,TFUELUSDT,THETAUSDT,TRXUSDT,TUSDUSDT,USDCUSDT,VETUSDT,WAVESUSDT,XLMUSDT,XMRUSDT,XRPUSDT,ZECUSDT,ZILUSDT,ZRXUSDT",47
