"STRATEGY","REBAL_FREQ","FORMATION_PERIOD","SHARPE","RET"
"MOM_0",1,3,0.622918563413641,0.140677805262041
"MOM_1",1,3,0.875907428709085,0.195474016474767
"MOM_0",2,3,0.545160632880628,0.127630693485697
"MOM_1",2,3,0.841804693743151,0.195925515551564
"MOM_0",3,3,0.324838497621391,0.0759339481518042
"MOM_1",3,3,0.453963879035435,0.103491564152859
"MOM_0",4,3,0.657473999521696,0.145727909872225
"MOM_1",4,3,0.728274037766414,0.15844266547073
"MOM_0",5,3,0.527047623379255,0.112010006808861
"MOM_1",5,3,0.79451879972496,0.163241940220652
"MOM_0",6,3,0.301173330727154,0.0736245564546891
"MOM_1",6,3,0.4942231242686,0.115794447703434
"MOM_0",7,3,0.412421522800415,0.078560973868351
"MOM_1",7,3,0.659884946520545,0.122381051738922
"MOM_0",8,3,0.578333098743329,0.12899139375506
"MOM_1",8,3,0.673181789553541,0.14624799949165
"MOM_0",9,3,0.376829555438335,0.0764585434406528
"MOM_1",9,3,0.667394523132864,0.128800202630455
"MOM_0",10,3,0.281931295215887,0.0581637338799688
"MOM_1",10,3,0.491044009245308,0.097673747172988
"MOM_0",11,3,0.646108177971561,0.162407489675248
"MOM_1",11,3,0.817968502985724,0.197348522612395
"MOM_0",12,3,0.446104020708935,0.097342782029755
"MOM_1",12,3,0.428516418779998,0.0934043356514354
"MOM_0",1,4,0.724250515782107,0.168352491994581
"MOM_1",1,4,0.823488698131537,0.181941094333657
"MOM_0",2,4,0.587826903929902,0.132939130216253
"MOM_1",2,4,0.799438761455047,0.184190750470891
"MOM_0",3,4,0.492552850808489,0.113780151733882
"MOM_1",3,4,0.490741965650899,0.109997994051007
"MOM_0",4,4,0.685438783937344,0.155343558324935
"MOM_1",4,4,0.789144727957464,0.159771841046609
"MOM_0",5,4,0.529845715282794,0.115070749190456
"MOM_1",5,4,0.719303082744108,0.149086899779915
"MOM_0",6,4,0.399632970950476,0.091152629926472
"MOM_1",6,4,0.466360787082609,0.102258619576719
"MOM_0",7,4,0.594158818649585,0.119839532514384
"MOM_1",7,4,0.798713228084395,0.151320444627988
"MOM_0",8,4,0.393418952378538,0.0797191990847947
"MOM_1",8,4,0.430890950671899,0.0834082679728849
"MOM_0",9,4,0.423905479234842,0.0854343891793954
"MOM_1",9,4,0.573359447275497,0.106259834398148
"MOM_0",10,4,0.0917113565167768,0.0194139910711244
"MOM_1",10,4,0.338588582442466,0.0685006010430194
"MOM_0",11,4,0.699670348420441,0.166099056122593
"MOM_1",11,4,0.757488116217543,0.177930699031011
"MOM_0",12,4,0.277343835512685,0.0590676905853968
"MOM_1",12,4,0.174160845025671,0.0361460501450619
"MOM_0",1,5,0.682431328191127,0.159413406395684
"MOM_1",1,5,0.885967075992868,0.195494893124408
"MOM_0",2,5,0.646781877137623,0.147514983481889
"MOM_1",2,5,0.915153292953613,0.197400066985086
"MOM_0",3,5,0.621194197735193,0.140301032442002
"MOM_1",3,5,0.661079240273344,0.142690407581224
"MOM_0",4,5,0.777780488766128,0.177503441368482
"MOM_1",4,5,0.938904493054469,0.181475335294359
"MOM_0",5,5,0.753054063915461,0.158022566273279
"MOM_1",5,5,0.983178136828364,0.200935762083748
"MOM_0",6,5,0.607565620852433,0.130464967644783
"MOM_1",6,5,0.641268907640813,0.129719816290101
"MOM_0",7,5,0.648253374789612,0.131495174271637
"MOM_1",7,5,0.929301525100428,0.176529164775566
"MOM_0",8,5,0.615223602074613,0.126048787270251
