Date,Quant Model NAV
2005-09-30,100
2005-10-03,100.8872524
2005-10-04,102.5057992
2005-10-05,101.9185531
2005-10-06,100.0623391
2005-10-07,99.4334306
2005-10-10,99.46110014
2005-10-11,99.59359652
2005-10-12,99.59359652
2005-10-13,97.94651796
2005-10-14,95.98243021
2005-10-17,95.63487601
2005-10-18,95.2338444
2005-10-19,93.84537562
2005-10-20,93.37589878
2005-10-21,94.32964279
2005-10-24,93.27405278
2005-10-25,94.03387021
2005-10-26,93.8985557
2005-10-27,92.3340935
2005-10-28,90.76107833
2005-10-31,92.87747371
2005-11-01,93.67159999
2005-11-02,95.12359199
2005-11-03,95.12359199
2005-11-04,95.12359199
2005-11-07,96.4603303
2005-11-08,98.18165969
2005-11-09,97.7910509
2005-11-10,97.9727458
2005-11-11,99.61144881
2005-11-14,99.96514066
2005-11-15,99.96514066
2005-11-16,101.389705
2005-11-17,102.1789683
2005-11-18,102.6533669
2005-11-21,102.0023478
2005-11-22,101.5672336
2005-11-23,102.7928773
2005-11-24,103.6813449
2005-11-25,105.3577445
2005-11-28,106.4557469
2005-11-29,106.088229
2005-11-30,104.8981863
2005-12-01,106.5454532
2005-12-02,107.1417478
2005-12-05,106.1083909
2005-12-06,105.6814964
2005-12-07,106.7673161
2005-12-08,106.7558843
2005-12-09,107.9008218
2005-12-12,108.3316224
2005-12-13,109.8623246
2005-12-14,110.104608
2005-12-15,108.5622707
2005-12-16,109.3647864
2005-12-19,110.7134357
2005-12-20,110.4289987
2005-12-21,110.3034572
2005-12-22,110.7278796
2005-12-23,109.7301131
2005-12-26,107.7306525
2005-12-27,109.9968864
2005-12-28,109.5872936
2005-12-29,110.1584499
2005-12-30,111.1012825
2006-01-02,111.0904602
2006-01-03,112.8056071
2006-01-04,114.4777884
2006-01-05,114.4804339
2006-01-06,114.9135085
2006-01-09,114.5058794
2006-01-10,113.3522478
2006-01-11,113.3522478
2006-01-12,113.1395354
2006-01-13,113.2827379
2006-01-16,112.8429171
2006-01-17,112.7663633
2006-01-18,112.3511969
2006-01-19,114.3910424
2006-01-20,115.1256949
2006-01-23,114.7651436
2006-01-24,115.6368431
2006-01-25,117.1174736
2006-01-26,117.1174736
2006-01-27,119.3226149
2006-01-30,119.1501094
2006-01-31,119.9875915
2006-02-01,118.9729472
2006-02-02,119.0950366
2006-02-03,118.5331317
2006-02-06,121.2402119
2006-02-07,122.704262
2006-02-08,122.2427314
2006-02-09,122.2427314
2006-02-10,123.6468467
2006-02-13,124.7228251
2006-02-14,123.2998926
2006-02-15,123.113111
2006-02-16,123.26938
2006-02-17,121.8578487
2006-02-20,121.4139028
2006-02-21,122.2581209
2006-02-22,122.541797
2006-02-23,121.7278056
2006-02-24,121.5831293
2006-02-27,122.6847649
2006-02-28,123.7527671
2006-03-01,126.1211756
2006-03-02,126.7805377
2006-03-03,127.1896973
2006-03-06,128.5556841
2006-03-07,127.9765874
2006-03-08,126.3754476
2006-03-09,127.1292331
2006-03-10,129.2155041
2006-03-13,129.7346913
2006-03-14,129.7401862
2006-03-15,129.7401862
2006-03-16,130.59632
2006-03-17,130.6000419
2006-03-20,131.5346336
2006-03-21,130.7848163
2006-03-22,130.1012269
2006-03-23,129.7116908
2006-03-24,130.7750167
2006-03-27,131.0507145
2006-03-28,130.6921743
2006-03-29,132.2164428
2006-03-30,133.6989419
2006-03-31,134.035322
2006-04-03,137.4496451
2006-04-04,138.4541702
2006-04-05,140.039379
2006-04-06,140.039379
2006-04-07,137.6724585
2006-04-10,138.4423974
2006-04-11,138.4423974
2006-04-12,134.7709111
2006-04-13,132.7074746
2006-04-14,132.7074746
2006-04-17,136.6806
2006-04-18,140.0050953
2006-04-19,139.9054603
2006-04-20,140.9917072
2006-04-21,141.147523
2006-04-24,139.6262365
2006-04-25,136.7433671
2006-04-26,139.260829
2006-04-27,138.4809668
2006-04-28,138.5768649
2006-05-01,140.6958434
2006-05-02,142.7087725
2006-05-03,143.8383728
2006-05-04,144.1088638
2006-05-05,144.181283
2006-05-08,144.8230201
2006-05-09,145.0347785
2006-05-10,145.7266947
2006-05-11,143.9384294
2006-05-12,142.7786553
2006-05-15,137.6558158
2006-05-16,137.9459596
2006-05-17,140.9448779
2006-05-18,132.4102852
2006-05-19,127.3129328
2006-05-22,122.7416332
2006-05-23,126.0088216
2006-05-24,123.9546074
2006-05-25,124.4219446
2006-05-26,126.886027
2006-05-29,127.1742183
2006-05-30,126.7710236
2006-05-31,122.3070156
2006-06-01,118.8944666
2006-06-02,122.6437187
2006-06-05,120.1352625
2006-06-06,117.1202902
2006-06-07,113.6183844
2006-06-08,107.5865572
2006-06-09,113.4405158
2006-06-12,110.2609575
2006-06-13,105.4466257
2006-06-14,102.9730022
2006-06-15,110.4382
2006-06-16,115.0384716
2006-06-19,116.4426648
2006-06-20,114.5228982
2006-06-21,116.8589894
2006-06-22,119.0281213
2006-06-23,120.4752675
2006-06-26,116.5071444
2006-06-27,117.836553
2006-06-28,118.0054961
2006-06-29,119.1215995
2006-06-30,123.8079769
2006-07-03,124.2231824
2006-07-04,123.7646306
2006-07-05,126.572717
2006-07-06,125.5889105
2006-07-07,122.8998961
2006-07-10,124.9272223
2006-07-11,124.0935978
2006-07-12,127.7515932
2006-07-13,127.668258
2006-07-14,125.7978105
2006-07-17,122.1933891
2006-07-18,121.5205143
2006-07-19,118.2438375
2006-07-20,122.0343894
2006-07-21,118.9569022
2006-07-24,120.229154
2006-07-25,122.7824244
2006-07-26,125.469372
2006-07-27,126.4153447
2006-07-28,125.5909292
2006-07-31,125.7251937
2006-08-01,125.0458645
2006-08-02,126.5445809
2006-08-03,127.1880538
2006-08-04,126.7518206
2006-08-07,126.121565
2006-08-08,128.1883979
2006-08-09,129.7885502
2006-08-10,130.1125571
2006-08-11,130.752033
