"date","VIX.Top.1","VIX.Top.2","X10M.Top.1","X10M.Top.2","NIFTY.50.TR...VIX","NIFTY.50.TR...10M","NIFTY.50.TR...BuyHold","NIFTY.MIDCAP.150.TR...VIX","NIFTY.MIDCAP.150.TR...10M","NIFTY.MIDCAP.150.TR...BuyHold","NIFTY.SMALLCAP.250.TR...VIX","NIFTY.SMALLCAP.250.TR...10M","NIFTY.SMALLCAP.250.TR...BuyHold","Equal.Weight.B.H"
2009-06-01,0.0295603015075376,0.0273963336700666,0.000418261452866719,0.0080593130220443,0.0157003645912219,0.0157003645912219,0.0182003645912219,0.0252323658325956,0.0252323658325956,0.0277323658325956,0.0295603015075376,0.000418261452866719,0.0320603015075376,0.0259976773104517
2009-06-02,0.0141526276495603,0.0101837584800282,0.000157768522024648,-0.000434570401747492,-0.00102690932551963,-0.00102690932551963,-0.00102690932551963,0.00621488931049607,0.00621488931049607,0.00621488931049607,0.0141526276495603,0.000157768522024648,0.0141526276495603,0.0064808491757468
2009-06-03,0.0190899904435737,0.0173995532814406,0.000149856453292019,0.00067502295011812,0.00120018944694422,0.00120018944694422,0.00120018944694422,0.0157091161193075,0.0157091161193075,0.0157091161193075,0.0190899904435737,0.000149856453292019,0.0190899904435737,0.0120876219411785
2009-06-04,0.0183510113246825,0.0226198409433795,0.000157719999684502,0.00491417960398566,0.00967063920828681,0.00967063920828681,0.00967063920828681,0.0268886705620766,0.0268886705620766,0.0268886705620766,0.0183510113246825,0.000157719999684502,0.0183510113246825,0.0183917646022808
2009-06-05,-0.00896610064943648,-0.00688498395682463,0.000149810371608439,0.0016330849195294,0.00311635946745037,0.00311635946745037,0.00311635946745037,-0.00480386726421278,-0.00480386726421278,-0.00480386726421278,-0.00896610064943648,0.000149810371608439,-0.00896610064943648,-0.00366932347190213
2009-06-08,-0.0545945200972742,-0.0538612463669192,0.000457247370827751,-0.0168864118573879,-0.0342300710856036,-0.0342300710856036,-0.0342300710856036,-0.0531279726365642,-0.0531279726365642,-0.0531279726365642,-0.0545945200972742,0.000457247370827751,-0.0545945200972742,-0.0474972841982564
2009-06-09,0.0186408716629594,0.0225247364470748,0.000157599445249845,0.0137428248121125,0.0273280501789752,0.0273280501789752,0.0273280501789752,0.0264086012311902,0.0264086012311902,0.0264086012311902,0.0186408716629594,0.000157599445249845,0.0186408716629594,0.0241020349071647
2009-06-10,0.00441797659441856,0.00867250832553113,0.000157574611578726,0.0118021345001745,0.0234466943887703,0.0234466943887703,0.0234466943887703,0.0129270400566437,0.0129270400566437,0.0129270400566437,0.00441797659441856,0.000157574611578726,0.00441797659441856,0.0135534846438773
2009-06-11,-0.00569466659312778,-0.00404490115445932,0.000149672296445802,-0.00164046109737037,-0.00343059449118654,-0.00343059449118654,-0.00343059449118654,-0.00239513571579086,-0.00239513571579086,-0.00239513571579086,-0.00569466659312778,0.000149672296445802,-0.00569466659312778,-0.00383223816564149
2009-06-12,-0.022987708763804,-0.0228594227891253,0.000157526208422798,-0.00565304058260496,-0.0114636073736327,-0.0114636073736327,-0.0114636073736327,-0.0227311368144466,-0.0227311368144466,-0.0227311368144466,-0.022987708763804,0.000157526208422798,-0.022987708763804,-0.0190625146063742
