coin,dt,avg_buy
RUNE,20231012,641609.7144911971
kBONK,20241205,196416.54114794667
FIL,20240728,218631.2181739189
CFX,20240209,433347.5200047604
ORBS,20241027,111117.58957510786
PENDLE,20241122,82903.26366645082
LTC,20240720,228642.16882075628
ETH,20241017,3491545.8300167266
BNB,20230723,289629.25241263834
ILV,20240825,68341.85330437835
FET,20241028,219826.02320722438
GALA,20240123,777098.647551051
BLZ,20240113,167889.91374771306
MINA,20240814,141428.31620129218
NEAR,20241009,176406.5348248437
GMX,20231203,450148.61678918946
ORDI,20241101,156845.11910499158
BCH,20231201,889011.7267489941
LOOM,20240908,87617.913623296
KAS,20240401,166865.3364240939
BLZ,20241112,67941.12926473188
ZETA,20240409,112005.60604897342
BADGER,20231221,170733.09719338475
YGG,20241118,72898.3786727468
BADGER,20240102,164764.9703268156
PENDLE,20240427,69291.77010897991
ENS,20241009,114817.82330013772
WIF,20240214,138231.05745587015
ALT,20240829,127589.50570282806
GALA,20240320,238947.04890314606
SOL,20230616,69276.83917738203
DYM,20240225,174353.92976034875
XRP,20240905,473125.30768571066
SOL,20241123,1551530.9766923373
SCR,20241121,75408.23229526376
ATOM,20240406,259035.91795413368
APT,20231005,641794.6044035536
AAVE,20240821,211071.19546425532
POLYX,20231217,252989.40855829255
TRB,20230927,59646.531525366954
RNDR,20240912,0.0
OX,20241026,0.0
INJ,20240408,204823.6855461972
SOL,20231112,2392269.413269406
SOL,20231207,2539019.1473063356
EIGEN,20241112,65651.645248286
OGN,20231216,250996.32940359417
WIF,20240730,97263.92852930877
STX,20240904,142392.95170622127
BLUR,20231111,242405.1970112089
kSHIB,20231113,870590.4919280824
NTRN,20240328,202131.43120172303
BSV,20241012,74678.28446609783
OGN,20231007,193302.1492528054
ETH,20240811,1475668.7689806262
ILV,20240129,119265.05681187176
LDO,20240316,317934.85788373527
NTRN,20240824,114556.40680158907
CFX,20230613,268361.45294060494
SUPER,20231126,219444.9549158027
RDNT,20231017,195823.11791110766
GMX,20241113,58420.271567025426
ENS,20241210,147599.37636153697
RDNT,20231227,243893.16979673703
SEI,20240423,158183.6885334357
TURBO,20240713,157055.85219268294
TON,20231121,416304.4584113324
ZETA,20240908,70571.6999061885
FTT,20240922,15989.135193454878
kFLOKI,20240715,137329.66306158822
FTT,20240720,25131.23728165432
ENS,20240830,118802.3914742558
NTRN,20240902,103457.66676187977
MEME,20240113,400768.7648399543
MATIC,20231026,640831.2216263701
ACE,20241108,73949.04447961765
BTC,20240420,495340.7047735894
ENS,20240323,196649.27051553968
APE,20231208,986453.432093043
NFTI,20240129,22567.977927348147
YGG,20241010,110608.0626679995
kPEPE,20231021,629154.5335654146
MATIC,20230428,38765.612590859535
ETH,20240928,4456766.68555369
MEME,20241002,144426.5285473325
FET,20240729,154163.99953687994
TON,20241024,117331.00748548389
ARB,20240304,322927.00765008427
ORBS,20240321,127647.9013572646
SUI,20240202,250836.5396047119
ETHFI,20240904,255154.6475543247
FIL,20240820,243251.33615295688
CYBER,20241004,116278.61144277304
INJ,20230629,122491.58419184195
MYRO,20240404,153140.9345941621
OGN,20240106,167599.7423289263
ETH,20241024,3175987.980006205
ARK,20231223,248044.7442598217
OX,20240330,28861.046726641325
CRV,20241031,181174.95203889612
BLZ,20231207,284443.32785616134
FTM,20231108,877414.4203042384
ATOM,20240211,443789.7082397562
kNEIRO,20241101,293696.20378751546
CANTO,20240127,53226.149448541095
STRAX,20240823,0.0
UMA,20240918,241365.34031068583
UNIBOT,20240716,0.0
BCH,20240112,765900.4163420337
JUP,20240310,183234.00198870964
MNT,20240408,276734.62738052744
TRX,20231207,926769.8772742113
APE,20231127,862883.7958021405
CELO,20241013,145980.9036541537
FXS,20230805,229157.56838375705
XRP,20240716,527299.2860281715
WLD,20240105,753259.048358864
UNIBOT,20230909,109171.61035673066
ADA,20231210,954211.8115136196
ONDO,20240815,92650.59272005387
ZRO,20231119,82139.98743939908
ARB,20240718,133782.7706359375
BANANA,20240815,20164.53632304051
UNIBOT,20231226,20722.17708123031
PENDLE,20240123,68271.73073951158
APE,20240728,84475.81016756277
BTC,20240221,1007530.4061898278
FTM,20230613,249794.19845192923
BADGER,20241205,54087.78984218455
OGN,20240225,96445.97066017144
RUNE,20240223,98877.24592345042
kLUNC,20240212,408352.0301042357
BRETT,20240812,108233.62324316642
ZEN,20231220,252269.2264214087
CYBER,20241027,118936.9787184035
HBAR,20240821,118324.12042622206
MEME,20240909,152855.3225822248
BSV,20240102,151756.20105491884
BNT,20240212,107943.67921592858
SOL,20231230,2949611.978374185
BCH,20240415,143239.77213638576
KAS,20231125,261401.99587704692
RUNE,20230909,652964.3565327928
GMX,20231009,319168.9818842621
ETH,20240807,1238979.6204133066
APE,20240303,138972.72143528395
WIF,20240227,158676.16200586577
STG,20241118,73933.85148260549
OMNI,20240715,145425.6665045975
FRIEND,20231013,48251.037147915486
BLUR,20240926,186338.10570898993
CANTO,20241101,0.0
ORDI,20240210,439823.3246973004
FTM,20230823,484716.70562953455
AAVE,20240809,100793.45611210717
HMSTR,20241124,126384.41332009701
SOL,20231208,2706043.702693324
REZ,20240930,183998.06814750138
XAI,20241126,145408.22807369966
ZEN,20240714,85058.6052881723
SUSHI,20240401,226400.34568663457
ZRO,20240714,167249.24737585068
CFX,20240401,175146.61767204793
STRK,20240903,121770.14279551512
HBAR,20240826,113717.09146431042
JUP,20231225,48793.17400867558
ATOM,20230825,492069.11604932876
RENDER,20240913,136049.3174107076
BANANA,20240320,16035.932413883525
PANDORA,20240327,49080.541646194106
FRIEND,20240419,22495.2683225728
JUP,20240725,112654.41912326196
kPEPE,20231118,856960.0689929145
TURBO,20241129,85147.35985060428
BNB,20231008,1088173.955892074
TAO,20240308,132456.6547096915
STX,20240130,198732.99259312905
ZRO,20230912,73390.95839397567
CAKE,20240807,157896.48296788317
HMSTR,20241005,279154.4839370861
BANANA,20240427,14890.498573043558
PEOPLE,20241109,100184.95928187709
LDO,20230616,38862.06067053087
IMX,20240313,231575.23419010307
CELO,20241020,208967.15053097633
AR,20240802,86898.64648063027
BADGER,20240218,97921.0638614248
GALA,20240216,408095.22496703244
AI,20240825,121885.66028228385
AR,20241104,104964.51921251373
AVAX,20230930,660122.8228672098
BNB,20230822,772329.3014748013
ILV,20241206,58024.94337217494
BLZ,20240321,125652.32099498918
DOGE,20240315,150413.51118415006
FTT,20240315,73830.46592457591
CYBER,20241112,54920.66454118339
AR,20240414,61820.7169588222
RNDR,20231226,339083.1979685396
GMX,20240214,40481.847229775405
ARB,20230720,202250.8237977851
COMP,20240803,128631.34746854822
TURBO,20241122,78460.96423580979
OP,20241205,221077.8179949699
COMP,20240302,152963.4774011774
OP,20240730,282963.5959849937
GMT,20240210,777658.8425457652
FTT,20241204,21012.490407296053
APE,20241027,260904.11994982613
AVAX,20230425,41504.92925413278
GAS,20241119,57722.851026496406
ORDI,20241106,118207.79198676455
CFX,20241021,194101.95693416515
TRX,20231127,879901.4473688129
CFX,20231227,832130.9150103696
ORBS,20240202,171709.78319596034
STRAX,20231211,291007.2734033336
LINK,20240118,309691.97339316696
kFLOKI,20240411,190588.77126199976
ILV,20240921,79021.7685886362
BOME,20240412,164574.99621042967
DOGE,20231030,656891.5825665252
CFX,20230609,299806.20189174544
MERL,20240824,219791.34875538948
DOT,20231114,855146.8024903823
MYRO,20240925,79021.61499698606
ARB,20230715,211451.7834274835
BLUR,20240920,189542.4330830698
BANANA,20231010,62153.831350731496
BLZ,20231001,144908.55517040438
BCH,20240720,315768.85943811876
MATIC,20230714,177065.00216717634
CANTO,20241020,0.0
ADA,20240721,192112.7372411464
kSHIB,20240304,231882.61040156212
INJ,20231129,845798.607386706
ATOM,20241118,115952.21126409636
RNDR,20240801,0.0
BADGER,20241029,74663.23514671536
TON,20241017,102593.13076159614
MEME,20240420,144338.43612195924
SNX,20231101,196621.4139879186
TIA,20240306,437390.1656097943
TRB,20231203,436076.0471838695
kLUNC,20241022,202355.70251960398
LDO,20240924,241440.613230246
STG,20240119,158019.03962645668
COMP,20230725,179743.49639800857
GAS,20240116,154967.88465883138
BIGTIME,20231121,230516.72765417857
PANDORA,20241024,0.0
BSV,20240118,146747.16141410742
ENA,20240718,74225.31780693258
MNT,20241201,160423.0285656319
UNIBOT,20240424,12542.268509971222
NEAR,20240722,87193.96578582696
NEAR,20240828,110065.76775997803
RNDR,20240429,96792.31523918106
STRAX,20240312,107473.39753437933
NOT,20241016,156827.9305242671
GALA,20241010,159137.88581202863
PANDORA,20241101,0.0
WLD,20240222,271887.12829886
MKR,20240221,236290.85275453227
ENS,20240117,320770.4738427569
RDNT,20241116,51979.31247558949
TRB,20241116,57346.78913841312
JTO,20240209,324125.6944209099
FTM,20241012,172874.18310615097
XRP,20241207,1029305.7887517979
ZRO,20231018,43162.47276407782
DYDX,20240810,202795.14829876277
TURBO,20241208,117058.62188695068
APE,20240413,87066.14317786576
SEI,20231105,306085.20102779794
SEI,20231005,651675.2692400322
SEI,20241015,156639.0962876523
BNB,20240906,408288.7880229924
AI,20241026,158665.59735909282
ORBS,20241019,103885.86670220787
CFX,20230530,341791.6338772586
TURBO,20240905,164775.8319013045
BTC,20230601,345309.91414043476
STRK,20241014,109667.5447424891
COMP,20240415,89838.00349431098
BNB,20231014,1090595.9084889423
kLUNC,20240118,412145.554639951
HPOS,20240215,12387.00223543116
LISTA,20240810,324395.6677720663
DOGE,20240723,320827.994015286
ILV,20240828,60012.621040973034
RUNE,20240424,92565.03679223068
ATOM,20240313,308205.2547824397
UNI,20240222,275200.22762139246
ARB,20231129,860224.1903330585
AI,20240225,460453.12193572056
BANANA,20240912,85195.91924960597
kLUNC,20240915,177951.78220552034
RNDR,20241005,0.0
GMX,20241022,78884.31183772392
BNT,20240214,39670.328909798736
kDOGS,20241126,150021.16242564775
WLD,20240409,200035.51192531473
TURBO,20240815,154581.78084588898
BCH,20240309,350992.38314669364
TAO,20240922,137286.39235105723
kDOGS,20241128,151870.44188332543
NEO,20240823,116354.55851766079
BANANA,20231213,25357.148979799575
NEIROETH,20241107,122401.70758007906
STRAX,20240329,0.0
BADGER,20241115,46151.62983090841
OX,20240329,23745.00839728571
WLD,20231218,580077.223474617
GALA,20240125,744520.4623762526
APT,20231216,592947.4109617976
WLD,20240504,190440.50438410242
ALT,20240720,151683.49645685678
ONDO,20240502,116155.13675819067
BADGER,20240401,117885.37164543138
WLD,20231003,319212.55543084396
POLYX,20241110,44859.39678503263
CAKE,20240818,139853.53993183412
ACE,20240130,169065.5151067733
NEO,20241025,160235.93284615135
DYDX,20231118,385835.3756134987
FTM,20240107,798640.4934383935
MKR,20230831,583827.9596259157
GMT,20241007,239918.4352643016
kBONK,20240730,170604.00971865148
SHIA,20240312,8038.579720336624
AR,20240404,212224.69273390854
NFTI,20240825,0.0
ZEN,20240402,155954.15205149094
OX,20241009,0.0
RDNT,20240915,80264.26532268226
APE,20240205,826751.5333694236
BOME,20240716,138456.75552648038
PIXEL,20240422,243389.3327366519
NFTI,20240312,13958.793954625156
CRV,20241201,169258.23081734014
ATOM,20241208,267743.52669838833
MERL,20240718,217816.34385203125
MAVIA,20241117,65286.96070314979
ADA,20240816,192262.32740908457
CRV,20231122,835458.95784221
kPEPE,20240908,803409.2812287938
ORBS,20240303,102505.94446259251
OGN,20231101,190919.2817808017
FRIEND,20240411,18845.62124314933
GMT,20241106,166386.44869611395
AR,20241106,89776.08851281539
FET,20240103,370536.820505428
TNSR,20240421,115483.4028337183
PEOPLE,20240914,118249.92037747604
ORBS,20231224,246348.24316397018
ACE,20240904,123439.56709714551
KAS,20231215,249128.31968030342
ORDI,20240925,137013.28858836475
ZRO,20240914,207197.33634590133
ORDI,20240818,155486.34816684655
GAS,20240308,104055.30197945211
ORBS,20241004,101540.11511503534
NEAR,20240921,109483.2580251227
kLUNC,20240719,181915.83703634556
REQ,20240312,29914.36421621105
ACE,20240304,130578.5290317386
SUI,20240417,167814.74551854035
APE,20230708,149958.96896861994
ETHFI,20240809,109367.60495341472
MATIC,20240225,365139.44689903024
JUP,20240728,199697.43734780524
COMP,20231030,653474.6184464372
CFX,20231128,610806.1652726119
OX,20240921,0.0
