coin,dt,avg_sell
RENDER,20240905,217255.97573568454
ACE,20241101,124933.66854752679
BNB,20231210,1715439.0980437666
POLYX,20241130,49409.89514073061
RUNE,20241025,195664.665704942
NFTI,20240108,45441.811225490936
RLB,20240117,44884.908106842326
STRK,20240324,224629.0939287445
CRV,20231028,618581.24768523
ZEN,20240822,73102.99755296572
TON,20240821,167611.84065710285
XRP,20240329,509482.2200848725
ETH,20230510,38648.04534364582
SNX,20240326,173297.08141030962
RDNT,20240310,166387.56191983767
kFLOKI,20240910,121632.37287179341
AI,20240427,294112.51308364
kSHIB,20231022,643865.2088061504
ARB,20240923,167928.54864539913
ALT,20240813,113825.53857273502
SOL,20230620,115574.63380113545
BTC,20240220,1148921.4090905355
BRETT,20240927,116953.3220242058
BNT,20240316,98629.91929332045
SAGA,20240502,170781.06396715957
OMNI,20240813,114398.73799731742
BLAST,20240929,169377.0828451048
OP,20231225,788651.2247185975
BSV,20240316,74050.68637358508
MATIC,20241103,0.0
AVAX,20241108,301738.8958067759
ARB,20230811,480266.91271871113
kPEPE,20240501,224682.1605651382
WIF,20241112,143712.63549048465
POPCAT,20241015,131057.82754552415
BLAST,20241002,166609.9406031629
LOOM,20240803,80653.10077492682
BSV,20231222,166216.9895699539
COMP,20231103,653528.064213075
FTT,20231031,190905.93574316296
RNDR,20241127,0.0
INJ,20240806,213999.06132858552
ILV,20240912,90378.6900466199
ETC,20241210,106900.36152441225
AVAX,20240721,170239.2938348288
CYBER,20231027,305767.1628989514
UNIBOT,20241015,0.0
GMX,20240202,380902.69035222515
LTC,20240810,250471.8752582635
MERL,20240714,218526.9829196965
MATIC,20230610,281365.75654041546
OGN,20241005,63614.88172458176
YGG,20240106,169499.70327612566
JTO,20240820,145113.5816006206
SEI,20240502,182957.11793899615
GAS,20241011,107882.66924083994
ORDI,20240228,188621.22332671296
kBONK,20231224,341708.792192069
BIGTIME,20240816,106585.92713070734
BLZ,20240209,145294.89894838276
UNIBOT,20240219,19962.29383043118
ETC,20240330,290738.9909533755
POPCAT,20241127,279106.59439189173
SUPER,20240831,102229.81797788657
BTC,20230511,48503.611806247885
HPOS,20240908,10788.937938061044
BADGER,20240405,134264.8186801418
MKR,20231128,878842.3848882216
BTC,20230927,2611535.8811623473
POLYX,20240725,96156.80620872125
BOME,20240724,158670.15613505914
RLB,20240418,13351.567717088774
RDNT,20231123,274048.6016303242
MATIC,20230905,841713.8304153212
OGN,20241129,48183.16516185286
TURBO,20241203,109331.53638731678
BLAST,20241130,87109.86519976522
ZRO,20231122,33125.02749713073
PANDORA,20240307,43804.93445007173
BNT,20240221,55837.913142996666
AI,20240223,611702.5128603949
NTRN,20240807,97918.50988585304
SAGA,20240801,140070.06697673595
ZK,20241208,57429.67361529676
UMA,20240207,338282.47250899137
ACE,20241024,163851.74640850406
FET,20240112,400311.1472192036
ORDI,20240822,116260.66712425606
BNB,20230629,128370.59598573735
DOGE,20231124,853175.8585258973
FRIEND,20240105,28089.324040296382
kPEPE,20231201,878627.2597303786
STRK,20241117,88902.87006250427
PYTH,20240425,111225.20005498153
DOT,20231010,661234.2650273485
SCR,20241016,41294.113510270094
NFTI,20240223,14597.540858492323
BSV,20240202,104931.32630912916
KAS,20241107,110147.37525725305
RLB,20240329,18421.197316762526
XAI,20240205,546653.2579594848
ETH,20240809,1369195.0287995872
CAKE,20240328,152457.01267181043
WIF,20240310,88487.32775621352
MATIC,20230704,91199.0473411395
BSV,20241027,49006.58954742431
NFTI,20240208,10510.577097746454
UNI,20240314,220386.07488050684
ZK,20240815,119644.71645702001
SAGA,20240427,172990.57274626696
MEME,20231227,406009.52187712037
PYTH,20241119,65974.45881840533
STRAX,20241010,0.0
GOAT,20241027,75691.54447043333
JUP,20240214,177513.85987282166
LINK,20240820,277952.36686561536
SUSHI,20240420,133482.44378075693
kSHIB,20240717,237421.03294828968
BLZ,20231117,253402.8317838272
RNDR,20231006,301545.9139510239
GMX,20231127,443266.23487790144
MYRO,20240911,82623.4274314316
CRV,20240806,152558.0958826401
GMT,20240902,199415.7203696936
PENDLE,20240106,114200.86002072055
POLYX,20241112,58939.20790862048
ZRO,20240408,6712.248761438863
COMP,20231124,883968.6092381746
GMX,20230731,199725.80796650535
kPEPE,20230713,145414.56201646297
W,20240721,90323.6323755902
kLUNC,20241004,202113.35911373707
ADA,20231121,856991.5480424435
GMX,20241112,61749.464660605576
PENDLE,20240330,133925.76769775143
ZK,20241005,123277.9524712119
BLZ,20231017,183617.0004041274
LISTA,20240907,284029.0283941731
BADGER,20240204,167482.6099881053
ENS,20240313,244711.64832491503
UNIBOT,20230807,37217.49905996717
SNX,20230622,47939.63624558407
SHIA,20240128,9841.567709967208
RSR,20240108,168497.06815916597
DYDX,20230415,41376.20842628687
LINK,20240203,408279.469677406
APE,20230913,640984.9711729225
COMP,20231218,824765.1373407327
kSHIB,20241101,296677.4002690458
ZRO,20240814,83661.80598803896
BTC,20241021,2195257.205243405
DYM,20241005,151626.44718334655
TRB,20240805,68781.40659810815
SUSHI,20240204,416304.6597601641
MKR,20240306,283934.8194021868
MAVIA,20240926,97531.92135330799
OMNI,20241028,121397.3404849616
ARK,20241203,28138.656681769724
AAVE,20231220,836212.6454258125
HBAR,20240802,97619.95190253887
ORDI,20240213,439118.9321433615
REZ,20241128,120166.11982816836
HMSTR,20241026,234070.53874651075
FET,20240920,276873.14513389376
OMNI,20240927,137866.56699114872
MKR,20240401,198110.34058967652
RDNT,20240131,249322.30619613946
PENDLE,20241202,103818.77272491131
ENA,20240928,107494.85691013765
BLZ,20240306,91384.54354566985
GMT,20240814,196115.06471921192
MKR,20240214,88029.11831709265
POPCAT,20240823,52059.13151139771
CAKE,20241030,150046.08828903138
PANDORA,20240804,0.0
STRAX,20240320,0.0
APT,20231025,595395.3356593867
OGN,20240211,159033.3895821902
INJ,20230518,39381.38938478179
PENDLE,20240225,41883.5365179098
AI,20240320,482570.00001473643
ETH,20240319,2671091.497018444
DYDX,20231111,382641.9496686776
STG,20241006,166905.1962768248
BTC,20230420,38547.02655168404
BNB,20230720,290608.2020481488
OP,20240203,567436.0385166549
HPOS,20231212,24499.13252604912
BTC,20241029,1872013.535086762
GMX,20230817,196548.96239782084
ATOM,20231216,787705.9294419404
YGG,20230917,651013.7717659555
INJ,20240404,299611.46981630055
TIA,20241130,134042.620204484
DYM,20240326,277406.43737993296
STX,20230820,219819.32131038728
STRK,20240908,128386.2572183503
CAKE,20240305,177788.54989483114
CFX,20240113,850769.0608554962
SAGA,20240912,134554.98590191576
MKR,20231002,640767.5774391022
BCH,20231218,832523.895162015
kSHIB,20241013,320809.07080450107
STRK,20241011,91940.72228820712
DYM,20240502,207783.50323155668
ILV,20240905,84131.59582454727
UNIBOT,20240225,15188.371214608482
OP,20230504,43521.67029063741
IO,20241202,116220.5961722293
CFX,20230524,184293.00046369963
TRB,20240321,112872.51881443882
LISTA,20240926,114657.89843778126
KAS,20231120,245891.335454544
AI,20240815,131320.43159450183
LDO,20230915,679959.1655583384
LOOM,20240411,138231.83989950165
SHIA,20240905,0.0
ZETA,20240922,67688.64709455421
DOGE,20230617,73217.97381314912
RSR,20240406,155547.99865619285
NTRN,20240416,102735.50961669351
SUI,20240107,699877.4893167418
kPEPE,20240309,228620.35378462297
NTRN,20240806,101504.85368779983
BANANA,20240418,13536.938533768824
NEAR,20240406,83565.20132250608
STX,20240327,115492.4876448386
BNT,20231106,251623.4071203694
ONDO,20240830,82999.72592860463
ZK,20241124,73180.78260987683
GMX,20230709,82989.00671444961
RSR,20240313,120191.61716960641
MATIC,20240502,275890.4877471886
kPEPE,20230512,103669.0240858923
RSR,20241010,134932.80053484984
BNB,20230416,40038.25022592594
GAS,20240908,103273.00612797016
AI,20240817,119737.82771078705
RUNE,20241015,178070.85477168555
JUP,20241003,105211.23313443083
LOOM,20231016,124163.08632447016
WLD,20240207,401677.65984527324
CANTO,20240804,9051.178569340846
MINA,20240811,113481.97492721083
STX,20231018,310943.51572446764
ORDI,20240319,314320.18343740614
MKR,20231108,890764.2874037414
PYTH,20240217,62598.29996854788
WLD,20240829,215401.39815039677
UNI,20240501,169762.15089596566
NEO,20240108,404770.0456532452
MANTA,20240321,242969.9757922573
GMX,20231206,495346.24733320705
ILV,20240223,63240.88423083944
APE,20231117,876957.1184514558
STX,20230904,328887.6491803298
KAS,20241112,90803.79169787948
RNDR,20240913,0.0
MNT,20240914,225217.13527226023
APE,20231017,637398.2667161344
NEAR,20241118,142324.1272915336
MEW,20241008,178592.27870496726
ORDI,20231202,689500.8861970202
CYBER,20241116,65996.49818133406
SNX,20230905,187673.77595314998
DYM,20240211,197040.71209924459
XRP,20241001,418952.3848814651
ALT,20241011,179447.99386323884
ARB,20240925,137419.58369273916
SOL,20240107,1840259.5139673485
ETHFI,20240925,103121.75600238722
APE,20231116,860371.8438435015
MAV,20240315,93468.32866492776
MNT,20240925,231376.73522869646
SUI,20241113,206746.94840904453
UNIBOT,20241210,0.0
BTC,20230529,337084.67986304156
YGG,20240828,104989.11977624046
UNI,20231201,890582.2278153494
GMX,20230616,34795.03937988323
MYRO,20240821,64848.072718256066
SEI,20240427,159770.40543910887
STRAX,20240101,165965.14163302645
GMT,20240726,184086.11000116105
FTT,20231229,247838.94807228114
ORDI,20240328,269232.52620421775
BNT,20240924,43878.374007328806
FET,20241120,247984.8047331775
CAKE,20240902,81815.40657049546
SUPER,20240305,86456.96310240247
TRB,20240929,120572.94841999059
ETC,20241203,83114.20510558807
TIA,20241123,101181.10388741933
NEAR,20240108,361497.8570959938
SOL,20241205,1793621.9971168088
BNT,20240805,32876.80310406851
MNT,20240717,218139.06059713732
ILV,20240320,129433.60171333389
INJ,20240210,309123.42790694954
INJ,20240127,261001.80701629617
CFX,20231106,810327.9378719005
BSV,20231120,446446.8006104698
RNDR,20230805,193691.61104339967
LDO,20231217,834558.0317760245
HPOS,20231003,47245.420133166015
REQ,20240919,27716.26723416949
kPEPE,20230818,461837.662254592
ORBS,20240915,107063.19378785268
REQ,20240429,21120.219572916387
WLD,20230808,480279.5354805967
LDO,20230530,345612.6199069861
ORBS,20231024,167913.0881164345
STG,20240219,89484.53226001373
ZEN,20240831,70790.94295988216
APE,20240218,72346.93812669416
RNDR,20240330,160580.58665012175
RDNT,20240827,122958.06324126702
MKR,20230915,644856.3225540565
OGN,20240320,165690.92927218403
MINA,20231121,411305.53184443776
ORDI,20240821,118005.35721241348
MATIC,20240815,239008.54997550676
ETHFI,20241106,104864.51626371239
TNSR,20240828,89323.04195657461
FTT,20241121,19539.07968719883
CANTO,20240824,0.0
TRB,20240405,97630.99869884174
ATOM,20241001,96925.31754466215
LINK,20231106,865433.5285541782
APE,20230928,639006.2800263152
JTO,20240827,183272.99698055882
ZETA,20240907,61841.088365728545
UMA,20240308,187239.94638669438
SHIA,20240123,9568.525694306425
ETHFI,20241007,122356.24183814846
USTC,20240316,172542.99138711058
DOT,20240108,716581.1614623138
CFX,20231127,729230.0375908106
HBAR,20240923,128039.19115713616
XAI,20240909,248285.5472604
SNX,20231107,264086.4859969824
HPOS,20240813,10522.643876106637
kDOGS,20241130,181638.59344398027
LOOM,20240907,98219.96398253171
FIL,20240220,213868.3412611045
W,20240911,88295.56586309473
BANANA,20240225,14277.88871299323
MEW,20241110,65099.681556443524
TRX,20241115,143803.22010088345
TON,20241031,130230.10260617622
SUI,20231217,828087.4120882093
WIF,20240221,135357.5206459969
XRP,20231006,805412.6081680282
PEOPLE,20240328,280955.175644916
FXS,20240125,113097.70161504339
AVAX,20230826,478947.10762670427
ZRO,20240822,107000.63037464918
BTC,20240212,925345.7436624549
BLZ,20231227,163934.14977321075
PEOPLE,20240831,130631.10653789387
ARB,20231014,635085.9911226585
ARB,20241007,151194.1036593145
MINA,20241017,186701.20321798915
STX,20231019,307895.7666814823
APT,20240716,116009.48092850616
LTC,20231003,651126.3445266443
BADGER,20240417,94261.75324973377
MAVIA,20241204,63113.43115918976
ETHFI,20240503,143922.2464320319
BNB,20240824,481248.70524240076
SUI,20231221,808861.55954497
RUNE,20240825,123441.44131916357
TAO,20241011,102498.30931193542
MYRO,20241209,71947.24538259297
TNSR,20240913,126237.5078433183
FTT,20231109,110343.01264137971
FET,20240314,132172.01066133493
RSR,20231231,161260.1569875056
EIGEN,20240917,5750.474463566356
MAV,20240803,84368.85928110479
USTC,20241004,143309.32542959417
BNB,20240718,369219.4677501206
DYM,20240320,295973.1608255147
STX,20230822,197419.22737154888
BCH,20240105,791829.1113126272
APE,20241116,168093.93843218216
PANDORA,20240304,39651.26472376617
ETH,20240328,1959977.1928630024
kSHIB,20231119,886321.0927234914
USTC,20240405,201021.81139920416
YGG,20240423,105943.67012027295
AI,20240912,108154.45451300146
POPCAT,20240825,60696.659345370426
APE,20230529,347978.22561474435
LISTA,20241018,188942.7552396665
AI,20241124,72438.15256898754
MKR,20231017,676099.8731466475
RNDR,20230624,46014.03633077784
LDO,20240118,530647.3100362907
TRX,20241113,136264.28561009894
SAGA,20241124,70813.83367043403
LDO,20230519,50881.14359500137
OGN,20240430,139993.0417127402
RUNE,20240330,94829.87168742278
SUSHI,20240805,84486.66810506872
PENDLE,20240323,127937.54658074454
RDNT,20231206,310547.3713246992
BSV,20240203,128177.31075278345
MATIC,20240406,273760.4883335843
FRIEND,20240318,12430.153242911258
NFTI,20240912,0.0
INJ,20240120,377481.6183050567
YGG,20240825,115443.24654208192
JTO,20240310,219280.4430653768
MEW,20241021,116163.36872015924
APE,20231221,847580.0773728882
GMT,20241201,124895.3728824122
TRX,20241128,117462.62902287941
CFX,20240930,127457.5693004892
ENS,20240905,132278.5056546782
ALT,20240729,141926.50792420193
APE,20230927,655446.6673444095
COMP,20240908,159462.62706180065
CYBER,20240114,171837.3103078617
CANTO,20240307,16716.019069364855
DOGE,20231212,854274.2593251037
CHILLGUY,20241128,41873.055343747794
SUI,20240209,207162.8171493579
ARB,20231119,875316.3800075215
OMNI,20240918,141517.8014988866
BANANA,20231006,50676.53435268319
RUNE,20241026,177582.8268467572
LDO,20230609,277595.2860519854
ENS,20241124,108780.0135882155
LOOM,20240922,55470.2138229622
CRV,20230812,457993.876159365
ETH,20241125,3060616.4856237313
JUP,20231217,57492.85546402887
MAV,20240115,167759.71294747162
UNIBOT,20230809,35488.30326813825
SNX,20230607,310304.73263049725
SCR,20241120,112699.82442795976
SOL,20240730,893329.1254350917
ADA,20240414,141090.66782228195
MINA,20241106,83033.18682772585
SNX,20240320,198222.36574443223
OX,20240313,10830.685792016384
BIGTIME,20240824,113493.2839681447
CANTO,20240826,0.0
NEO,20241208,130598.19756505422
AAVE,20240120,364197.61357383785
KAS,20240420,153384.42127734784
LTC,20231219,824863.1979871464
STRAX,20241005,0.0
TRB,20231127,411062.6922914486
AR,20240331,212367.4993362693
BLUR,20231218,604039.4580745515
LOOM,20240302,108348.50505101137
SOL,20231116,2478464.203727588
UNI,20240903,198243.0378842962
CRV,20230516,43671.226827460654
FIL,20240114,684790.8300185456
POLYX,20231123,265340.3271499122
CYBER,20241021,89271.03605727575
GRASS,20241128,87018.49367147815
TIA,20240301,356700.5283736463
TURBO,20241001,145189.78539045772
ETH,20230416,41492.7816925238
TRX,20241021,181931.7077158127
MKR,20241113,152007.02576449508
LINK,20231224,801399.4536999414
DYDX,20240116,566145.0530132125
TAO,20240819,64813.07034009626
OX,20231226,34400.71058983157
KAS,20240203,247828.576020369
MEW,20240915,242694.15560080681
SOL,20230703,83174.11109904242
OX,20241207,0.0
KAS,20240321,170266.40525725024
BANANA,20241001,82096.40368092516
SUI,20230824,493574.92361884896
NEO,20240815,110512.25250288035
BADGER,20240229,84101.2267087581
ENA,20241101,151196.86936493064
DYDX,20240217,268134.0013714239
AVAX,20231202,838785.1011863165
EIGEN,20241113,62943.16180932354
POLYX,20231206,292263.48809549905
FIL,20241128,188580.23260334096
SUSHI,20240930,114260.68391857686
REQ,20240424,20373.201027422296
HPOS,20241117,12000.06928986565
UNIBOT,20230917,118692.936265518
MEW,20241012,103199.48276251768
OX,20241129,0.0
DYDX,20230716,70764.9944697614
REZ,20241113,122146.07427349467
NFTI,20240320,13041.482519448084
DYM,20240424,163790.56813389625
RUNE,20241202,85022.52098502389
AVAX,20230815,470415.7489063073
LOOM,20240314,112804.42092108409
JTO,20240420,142205.81905885195
SUI,20240214,260701.66578152808
SEI,20240412,187204.63616971968
TURBO,20241015,169036.30207154204
SUSHI,20241019,148150.55643386833
FTT,20240819,21282.404547073675
TAO,20241105,153207.13209389825
UNI,20231204,956531.2014828403
UNIBOT,20240913,0.0
ZETA,20241014,88569.86698624246
RUNE,20240418,56033.167681548664
FRIEND,20240428,20094.138218210286
NEAR,20241010,211906.48727040863
FXS,20230828,202937.1406328813
ARB,20240906,174063.23913408825
HPOS,20231118,31037.898497869952
NTRN,20240928,126256.0946668133
BCH,20240927,316266.31565605465
BLUR,20240918,177417.78822949115
DYM,20241010,147923.35947944925
GALA,20240823,144265.23600798965
BSV,20241123,57868.90139492773
MNT,20241020,232336.29333603338
IOTA,20241208,60506.04578505549
BNB,20240809,487853.8976667895
ARK,20231216,260251.44488025736
POLYX,20231120,266159.64752908883
ZEN,20240331,177483.5797814063
SNX,20230828,197183.82653697906
FRIEND,20230926,49386.51264227665
MANTA,20241112,114962.6388876946
MANTA,20240205,399876.99356265826
KAS,20240229,116750.82201524523
TIA,20241107,91221.08271157094
SUI,20230913,646483.5078969338
DOGE,20240727,386941.0806360417
ATOM,20240329,239099.73471499025
SOL,20230927,2244390.450609783
APE,20240917,85401.41469483783
REQ,20240326,24289.776847502457
kNEIRO,20241108,336518.4492873759
LDO,20231002,647239.9852420003
kSHIB,20230912,670635.3039227055
HMSTR,20241203,154153.80450220234
ATOM,20240828,144601.80559304665
NEO,20240424,130647.55007520437
SNX,20231231,340795.27978561685
BNB,20240911,435878.59938488033
AVAX,20230720,173498.52858959095
BCH,20230922,660083.6525014192
UNIBOT,20231007,118357.92578844665
kLUNC,20240310,235124.1513578356
AR,20240228,168232.4992626492
FTM,20230817,457740.9997297904
AVAX,20240824,208284.68320025675
kSHIB,20231004,652129.2365461739
MANTA,20241004,159795.35149659868
YGG,20230807,307808.1956934585
kPEPE,20240425,167123.370628223
LINK,20231123,852189.9037265573
NFTI,20240412,13366.98229412005
GMX,20240310,114859.75832299038
BLUR,20240813,182968.49708491334
USTC,20241107,96423.9160932204
kLUNC,20240203,410943.2118099427
AAVE,20230820,506034.82268496865
SUI,20231116,779676.2157270004
DYDX,20231102,318847.2806875651
BTC,20231027,2942607.5829202454
W,20240816,91132.39662928438
FIL,20240917,240897.3312560135
ZEN,20231113,247167.41899602456
UMA,20240907,202293.32216024655
MATIC,20240901,318066.4485189531
BNB,20231122,1474583.4353361123
OP,20240202,532709.5316730798
FRIEND,20240226,13274.106250584922
OGN,20231213,257307.14068151987
ARB,20240416,199964.94251480367
BCH,20231205,948177.9833680164
POLYX,20231222,170530.89120385633
TRX,20230901,606132.3453858191
FIL,20240401,306582.2614632226
AVAX,20241030,330444.7729278488
STX,20240923,168345.02780360696
ORDI,20231129,893723.863833354
BNB,20241209,580331.862074837
DYM,20240919,95920.06423350864
OGN,20240502,139001.70651203126
KAS,20240728,112915.2630598751
XAI,20240413,239121.65849533104
GMT,20240826,195847.5229356944
HMSTR,20241127,115072.05646870486
FTM,20241107,90975.62862300144
DOT,20231226,708474.7724651704
BLZ,20241029,65594.0223390179
