"Index","NIFTY500 MOMENTUM 50 TR","M1","M3","M6","M9","M12"
2014-09-01,0.0139148098195954,-0.0000790149986349999,NA,NA,NA,NA
2014-09-02,0.0125145137728914,0.00868060344485602,NA,NA,NA,NA
2014-09-03,0.0200228211419473,0.0141202271441145,NA,NA,NA,NA
2014-09-04,0.00613595022730036,-0.000377543902210827,NA,NA,NA,NA
2014-09-05,0.00560093337328645,0.0227129077043331,NA,NA,NA,NA
2014-09-08,0.0145948663493381,0.0322021166275357,NA,NA,NA,NA
2014-09-09,0.00772941309008238,-0.0135405721208457,NA,NA,NA,NA
2014-09-10,0.00117869449309476,0.00658576772706684,NA,NA,NA,NA
2014-09-11,0.0118035562605451,0.00851965733649509,NA,NA,NA,NA
2014-09-12,0.00737520779190005,0.0117253627910633,NA,NA,NA,NA
2014-09-15,0.0034264629234666,0.00948018813880901,NA,NA,NA,NA
2014-09-16,-0.0365520589847584,-0.0565023970012795,NA,NA,NA,NA
2014-09-17,0.00768419196453593,0.00572998045154259,NA,NA,NA,NA
2014-09-18,0.0149209113904038,0.0381825121895063,NA,NA,NA,NA
2014-09-19,0.00193907447104125,0.0128554471464913,NA,NA,NA,NA
2014-09-22,0.00100400795758853,0.0289316056218825,NA,NA,NA,NA
2014-09-23,-0.021289919092101,-0.0281871269961828,NA,NA,NA,NA
2014-09-24,-0.0194968772983534,-0.0284475148534965,NA,NA,NA,NA
2014-09-25,-0.0159449426397156,-0.0285674420966893,NA,NA,NA,NA
2014-09-26,0.0116299535813402,0.0163948913768894,NA,NA,NA,NA
2014-09-29,0.0280222169015161,0.0171164781826334,NA,NA,NA,NA
2014-09-30,0.0068049217281749,0.00306241472743727,NA,NA,NA,NA
2014-10-01,-0.00561562832220236,-0.0136465752836059,NA,NA,NA,NA
2014-10-07,-0.00691567144958703,-0.00414648116274756,NA,NA,NA,NA
2014-10-08,-0.00596410596874595,0.00336618918884264,NA,NA,NA,NA
2014-10-09,0.0206054942901641,0.00837598641610907,NA,NA,NA,NA
2014-10-10,-0.0201322888402546,-0.0217544766273394,NA,NA,NA,NA
2014-10-13,0.00846410336458143,0.00792276707472391,NA,NA,NA,NA
2014-10-14,0.000282754473978527,0.00600900535977085,NA,NA,NA,NA
2014-10-16,-0.0354020768731333,-0.034044378585705,NA,NA,NA,NA
2014-10-17,0.00373069735999545,-0.00725263687121318,NA,NA,NA,NA
2014-10-20,0.016019068710864,0.00641667891403898,NA,NA,NA,NA
2014-10-21,0.0135102574973905,-0.00294447929927496,NA,NA,NA,NA
2014-10-22,0.0114305770513746,0.0123128237300982,NA,NA,NA,NA
2014-10-23,0.00785908746388956,0.0066300636033883,NA,NA,NA,NA
2014-10-27,-0.00372435435894547,-0.00306617710833303,NA,NA,NA,NA
2014-10-28,0.00172687263731828,0.0112153706465434,NA,NA,NA,NA
2014-10-29,0.00804951273255117,0.00263587598725751,NA,NA,NA,NA
2014-10-30,0.0132788642365509,0.00165018507383204,NA,NA,NA,NA
2014-10-31,0.0158052946991464,0.0037508486474687,NA,NA,NA,NA
2014-11-03,0.012986876470331,0.00262910434007071,0.0162461249279947,NA,NA,NA
2014-11-05,0.00421935213156055,-0.00133255157292824,0.00301467021112736,NA,NA,NA
2014-11-07,0.00379575263817918,-0.0243341140785569,-0.00825614234139035,NA,NA,NA
2014-11-10,0.0073450372638637,0.000795372670816937,0.00980730021494298,NA,NA,NA
2014-11-11,0.007957340906769,0.00156781687693568,0.0112668834568251,NA,NA,NA
2014-11-12,0.00864323587274012,-0.000657811850886274,0.0094654314644122,NA,NA,NA
2014-11-13,0.00207615730364158,0.00355790092756799,0.000899183787454905,NA,NA,NA
2014-11-14,0.00407544331457942,0.01929538664146,0.00237955591058763,NA,NA,NA
2014-11-17,0.0094621057840449,0.0232370286716678,-0.0000712728992943263,NA,NA,NA
2014-11-18,0.00815115229653967,0.00486124482098202,0.000215884869511399,NA,NA,NA
2014-11-19,-0.00717412909049455,-0.0128032907363845,-0.00893020585814649,NA,NA,NA
2014-11-20,-0.00204620977986647,-0.0146522036012581,-0.00623425631687636,NA,NA,NA
2014-11-21,-0.00907701022100288,0.012125976669737,0.00187554386296273,NA,NA,NA
2014-11-24,-0.0018185155074058,0.00328549040469453,-0.00781551388873541,NA,NA,NA
2014-11-25,-0.0105201181620302,-0.0184010640608517,-0.0286642193883267,NA,NA,NA
2014-11-26,0.00240071863674263,0.0224960759037445,0.0155703190809734,NA,NA,NA
2014-11-27,0.00336021516474029,0.00697124231211754,0.00608729423056711,NA,NA,NA
2014-11-28,0.00277266594248564,0.00321292173459867,0.0109519037593102,NA,NA,NA
2014-12-01,-0.00194820922933817,-0.0129338271909218,-0.0212373045698863,NA,NA,NA
2014-12-02,0.0068171826106244,0.0195417680034054,0.0171875589894995,NA,NA,NA
2014-12-03,0.0127330419422231,0.0369199342553567,0.0305941873317956,NA,NA,NA
2014-12-04,0.0038478840068314,-0.001869715725003,0.00384318106949482,NA,NA,NA
2014-12-05,0.000636766192723451,0.0158280863794546,0.016342166409797,NA,NA,NA
2014-12-08,-0.0106243722211481,-0.00996029895091785,-0.00840322816961171,NA,NA,NA
2014-12-09,-0.0146801867055691,-0.0202922574595738,-0.0159004448554658,NA,NA,NA
2014-12-10,0.0101584980188361,0.0259395137249232,0.023402531146355,NA,NA,NA
2014-12-11,-0.0106543238208037,-0.0169839034438111,-0.0163900875590072,NA,NA,NA
