"Date","Return"
2014-11-01,0.0271332616902231
2014-12-01,0.0133174139461232
2015-01-01,0.0139199438873854
2015-02-01,0.0196573770488095
2015-03-01,-0.0507002860297536
2015-04-01,-0.104846588676451
2015-05-01,0.0027026795627989
2015-06-01,-0.0364998239851704
2015-07-01,0.238136144035338
2015-08-01,-0.0992571750606435
2015-09-01,-0.0316883047166155
2015-10-01,0.0398439952114051
2015-11-01,0.0433693404144786
2015-12-01,-0.0103974303087573
2016-01-01,-0.129444992642615
2016-02-01,-0.181021719677362
2016-03-01,0.0442024457815615
2016-04-01,0.00436207356995544
2016-05-01,0.00229004370931696
2016-06-01,0.155950726066105
2016-07-01,0.0846181338149712
2016-08-01,-0.0133718812210386
2016-09-01,-0.0143959594559395
2016-10-01,0.0552684557023568
2016-11-01,-0.116430658194111
2016-12-01,-0.0059892669544539
2017-01-01,0.0800115387973825
2017-02-01,0.0247899643466156
2017-03-01,0.0555725683336783
2017-04-01,0.0785263629114961
2017-05-01,0.00651436331401678
2017-06-01,0.0199762814655939
2017-07-01,0.0516506728087942
2017-08-01,0.0859259871386984
2017-09-01,0.0586701189435859
2017-10-01,0.207457277464149
2017-11-01,-0.0125287011907005
2017-12-01,0.0151310043646364
2018-01-01,-0.0817356037753459
2018-02-01,-0.0388486423230947
2018-03-01,-0.0997083719476606
2018-04-01,0.134537515722231
2018-05-01,-0.073174391827414
2018-06-01,-0.0306798572728003
2018-07-01,0.0664630620642457
2018-08-01,0.0203525817883172
2018-09-01,-0.182558011425697
2018-10-01,0.0682235017511639
2018-11-01,-0.00277929606057303
2018-12-01,-0.0245634729142967
2019-01-01,-0.0874982763054603
2019-02-01,-0.0200095523365026
2019-03-01,0.0894194259158221
2019-04-01,-0.0608182436170072
2019-05-01,-0.0334679029368307
2019-06-01,-0.0705543057287999
2019-07-01,-0.0979297876408869
2019-08-01,-0.0170877434966645
2019-09-01,0.0326593236480555
2019-10-01,0.106241558253342
2019-11-01,0.0492665005765889
2019-12-01,0.00349041557583929
2020-01-01,-0.00746028683829936
2020-02-01,-0.0879701477576105
2020-03-01,-0.442179286375897
2020-04-01,0.107347209082372
2020-05-01,-0.0226338062569242
2020-06-01,0.318218733179958
2020-07-01,-0.184910822104332
2020-08-01,0.0543570898810661
2020-09-01,0.0638500814929852
2020-10-01,0.0294672169879509
2020-11-01,0.0888508149344882
2020-12-01,0.0694572804506697
2021-01-01,-0.0207769132115059
2021-02-01,0.128511034254774
2021-03-01,-0.0890343428651356
2021-04-01,0.080187963338064
2021-05-01,0.0838941176228518
2021-06-01,0.0988114653316488
2021-07-01,0.0546351885644449
2021-08-01,-0.13717251288397
2021-09-01,0.112343303756965
2021-10-01,-0.000805784749357552
2021-11-01,0.0640855641206497
2021-12-01,0.159547794719945
2022-01-01,-0.0605840527032191
2022-02-01,-0.218798512500963
2022-03-01,0.0770219907006828
2022-04-01,-0.0387382575077013
2022-05-01,-0.0838807958017863
2022-06-01,-0.0627377550410487
2022-07-01,0.0798632666218686
2022-08-01,0.0942290102520145
2022-09-01,-0.0826164465356826
2022-10-01,0.0297200447646719
2022-11-01,0.0222459234280461
2022-12-01,0.00112734981125762
2023-01-01,-0.00882908892088907
2023-02-01,-0.133587129412876
2023-03-01,0.0342094770579355
2023-04-01,0.0389696484197095
2023-05-01,0.071515860928449
2023-06-01,0.0613658999934432
2023-07-01,0.102126972510893
2023-08-01,0.0185859806598461
2023-09-01,-0.00340285767497006
2023-10-01,-0.0208940282591191
2023-11-01,0.07619648668607
2023-12-01,0.0180378732788151
2024-01-01,0.0960489298993636
2024-02-01,-0.0156483378750361
2024-03-01,-0.162672702478507
2024-04-01,0.16102378866183
2024-05-01,-0.0378259027166916
2024-06-01,0.108933199900634
2024-07-01,0.0311708981909986
2024-08-01,-0.0413535725777737
2024-09-01,0.120334015518523
2024-10-01,-0.0970592155647489
2024-11-01,0.0196600928926625
2024-12-01,0.0113808258902424
2025-01-01,-0.125223836660803
2025-02-01,-0.14124987738095
2025-03-01,0.0466753234235486
2025-04-01,-0.0457337964312744
2025-05-01,0.0429279648085303
2025-06-01,0.0136376049225808
2025-07-01,-0.00850259123656427
2025-08-01,-0.0523753459933253
2025-09-01,-0.0763881202675138
2025-10-01,0.0550632303189416
2025-11-01,-0.0507748924353556
2025-12-01,-0.016196553880704
2026-01-01,0.154131789747037
2026-02-01,-0.123965061026704
2026-03-01,-0.129718316753699
2026-04-01,0.182069663616391
2026-05-01,0.13069661553511
2026-06-01,0.0622313269141019
