"date","return","n_pos","gross"
2014-01-31,0.0936706375757491,5,0.0986706375757491
2014-02-28,-0.00748232754721681,6,-0.00248232754721681
2014-03-31,-0.109375429134199,7,-0.104375429134199
2014-04-30,0.033316048077163,10,0.038316048077163
2014-05-30,0.0285650461984256,7,0.0335650461984256
2014-06-30,-0.0407935373280564,9,-0.0357935373280564
2014-07-31,0.00514131992918272,9,0.0101413199291827
2014-08-28,0.011036446193966,9,0.016036446193966
2014-09-30,0.0608996115836948,10,0.0658996115836948
2014-10-31,-0.0281174933473677,11,-0.0231174933473677
2014-11-28,0.0164742907820581,11,0.0214742907820581
2014-12-31,-0.0327429557675085,12,-0.0277429557675085
2015-01-30,-0.0480105565735449,10,-0.0430105565735449
2015-02-28,-0.00345725947602208,9,0.00154274052397792
2015-03-31,-0.00740328594213487,9,-0.00240328594213487
2015-04-30,0.0643365470339239,10,0.0693365470339239
2015-05-29,-0.0110808480770857,10,-0.00608084807708571
2015-06-30,0.0191525010915485,13,0.0241525010915485
2015-07-31,-0.00188986750476394,14,0.00311013249523606
2015-08-31,-0.0864156216528388,16,-0.0814156216528388
2015-09-30,-0.0213625177325681,14,-0.0163625177325681
2015-10-30,0.0185634623050558,14,0.0235634623050558
2015-11-30,-0.0357582221959431,15,-0.0307582221959431
2015-12-31,-0.00266681437918582,15,0.00233318562081418
2016-01-29,-0.0277947781400224,15,-0.0227947781400224
2016-02-29,0.0340618503646071,14,0.0390618503646071
2016-03-31,0.0106389992240117,13,0.0156389992240117
2016-04-29,0.029034509427447,14,0.034034509427447
2016-05-31,-0.069458843203491,12,-0.0644588432034909
2016-06-30,-0.0296336437750787,14,-0.0246336437750787
2016-07-29,-0.0341759626952075,10,-0.0291759626952075
2016-08-31,-0.0175155656025939,8,-0.0125155656025939
2016-09-30,0.0357977981258678,10,0.0407977981258678
2016-10-28,0.0178665740071245,9,0.0228665740071245
2016-11-30,-0.0704574333581599,10,-0.0654574333581599
2016-12-30,-0.0413828021554407,9,-0.0363828021554407
2017-01-31,-0.0907553201419226,9,-0.0857553201419226
2017-02-28,-0.0157628674776052,11,-0.0107628674776052
2017-03-31,0.013300392914901,13,0.018300392914901
2017-04-28,-0.00638872985974,15,-0.00138872985974
2017-05-31,-0.0240289439101733,16,-0.0190289439101733
2017-06-30,-0.0174937740713662,15,-0.0124937740713662
