"THRESH","DRAG","CUMULATIVE"
0.05,0,5.47987344375253
0.05,1,5.40252219554577
0.1,0,5.45787140733076
0.1,1,5.33204011294
0.15,0,5.46778684402801
0.15,1,5.55533043145884
0.2,0,5.57445978142629
0.2,1,5.70102134144181
