"date","ticker","monthly_return"
2014-08-28,"BAJAJELEC",-0.0811150702158877
2014-08-28,"APARINDS",0.167247386759581
2014-08-28,"EVEREADY",0.0365602471678683
2014-08-28,"TIMKEN",-0.0298694779116467
2014-08-28,"THOMASCOOK",-0.0281983345950034
2014-08-28,"JINDALPOLY",0.0265486725663717
2014-08-28,"JKCEMENT",0.168373151308305
2014-08-28,"TATASTLLP",0.0336791305699535
2014-08-28,"LOVABLE",-0.0522908629709874
2014-08-28,"SWANCORP",0.000854700854700852
2014-08-28,"RSSOFTWARE",0.344310451453309
2014-08-28,"63MOONS",-0.117767015039511
2014-08-28,"MPHASIS",-0.0451592947726571
2014-08-28,"RELIGARE",0.00309501702259363
2014-08-28,"SADBHAV",0.0751743987511588
2014-08-28,"ATUL",0.0205108359133126
2014-08-28,"COFORGE",0.114566284779051
2014-08-28,"GRANULES",0.140290255701451
2014-08-28,"INOXLEISUR",0.0160724722384569
2014-08-28,"COLPAL",0.136641852770885
2014-09-30,"INDIANB",0.0963606286186933
2014-09-30,"KOLTEPATIL",0.0334814814814817
2014-09-30,"KOPRAN",-0.0872309435183686
2014-09-30,"COROMANDEL",0.0891561664757548
2014-09-30,"CCL",0.151904997525977
2014-09-30,"GABRIEL",0.0322128851540617
2014-09-30,"BASF",-0.0718562874251499
2014-09-30,"JYOTISTRUC",0.170091324200913
2014-09-30,"BAYERCROP",-0.0374408762758275
2014-09-30,"CHENNPETRO",0.0181347150259066
2014-09-30,"SUNDRMFAST",-0.00362187613183651
2014-09-30,"RAMCOCEM",0.0976581963129048
2014-09-30,"TVTODAY",0.0684728699385595
2014-09-30,"TEXRAIL",0.0898172323759789
2014-09-30,"PCJEWELLER",0.0442669682403696
2014-09-30,"JYOTHYLAB",0.0568218298555376
2014-09-30,"TIMKEN",0.0296395193591454
2014-09-30,"BALKRISIND",-0.0218642117376296
2014-09-30,"SCI",0.0773067331670823
2014-09-30,"JKTYRE",0.0219780219780217
2014-10-31,"TATASTLBSL",-0.090440487347704
2014-10-31,"IFBIND",0.136999288931026
2014-10-31,"KSL",-0.0711756373937676
2014-10-31,"KITEX",0.0531701656292858
