"date","NIFTY500_MOM50_TR","Q1_LIQC"
2014-08-28,-0.0031588189943178,-0.005
2014-09-30,0.0865621370915286,0.0627274139772653
2014-10-31,0.0439467252505836,0.0306305889255336
2014-11-28,0.0477133955468483,0.0200521201226862
2014-12-31,0.0158808270121693,0.0257785447292378
2015-01-30,0.0740078019498951,0.0298396677159063
2015-02-28,0.0126131715273503,0.0455085718002588
2015-03-31,0.0259783821028319,0.00228656414511108
2015-04-30,-0.0628155217660183,-0.08026060722763
2015-05-29,0.0484067208237573,0.0185859172439713
2015-06-30,-0.00687291420759939,0.00781285974368928
2015-07-31,0.0789272260250646,0.0418038228524928
2015-08-31,-0.0586141343452015,-0.101988611790065
2015-09-30,-0.000638271624803566,0.0449945252316137
2015-10-30,0.00977608655982642,-0.0025037737114989
2015-11-30,-0.0147981018034991,0.0311129994096226
2015-12-31,0.0121466772647001,-0.0320886407960291
2016-01-29,-0.0572781422536903,-0.0869383288129196
2016-02-29,-0.0919609984649292,-0.138129042495096
2016-03-31,0.0901317038898877,0.125970562924935
2016-04-29,0.0160711769790529,0.0437457922463071
2016-05-31,-0.0130259131630773,0.0132445263175995
2016-06-30,0.0266946767277592,0.0890123047094271
2016-07-29,0.0655419249374971,0.0627164489884116
2016-08-31,0.0380401912812738,-0.0224070176398767
2016-09-30,0.0037909248519159,-0.0145565528197
2016-10-28,0.0504349969562292,0.0818807973925648
2016-11-30,-0.0738134211386168,-0.139235521233615
2016-12-30,-0.0488666159361439,-0.0350348167665916
2017-01-31,0.136072748448944,0.0820075670599307
2017-02-28,0.060991785851729,-0.0153846914995597
2017-03-31,0.0551368852465108,0.0429363180836251
2017-04-28,0.0490483791662029,0.072500082431121
2017-05-31,-0.0150315000073868,-0.0456370990565121
2017-06-30,-0.009948044103541,-0.0486351610049124
2017-07-31,0.0716078524805661,0.046300924798566
2017-08-31,0.0409723560936108,0.029280532898043
2017-09-29,-0.00498153683189062,-0.0111269563768321
