"date","quintile","n_stocks","n_universe","mean_ret","median_ret","sd_ret","pct_positive","min_ret","max_ret"
2014-08-28,1,44,221,0.0443356192127735,0.0592826983714354,0.0969491766759203,70.4545454545455,-0.286392405063291,0.354097722406074
2014-08-28,2,44,221,0.0420836761962361,0.029491639707141,0.105438060842841,61.3636363636364,-0.14936305732484,0.359977949283351
2014-08-28,3,44,221,-0.0138742922867351,-0.019141651826364,0.110456959864895,43.1818181818182,-0.431182795698925,0.341187558906692
2014-08-28,4,44,221,-0.0036411546496357,-0.0104020553486593,0.110263997573409,47.7272727272727,-0.258485639686684,0.371450797355114
2014-08-28,5,45,221,0.0371619069606795,0.00516351118760783,0.155447289414878,60,-0.171858216970999,0.793548387096775
2014-09-30,1,46,234,0.0465219889469062,0.0406957008120046,0.0741636315174533,78.2608695652174,-0.100909038934309,0.267552182163188
2014-09-30,2,46,234,0.0485847757556552,0.0476122453617495,0.074910637470015,69.5652173913043,-0.120144209103199,0.235748792270531
2014-09-30,3,46,234,0.0475129649099848,0.0487066228453727,0.0754583632408119,69.5652173913043,-0.0845347313237226,0.196268262629818
2014-09-30,4,46,234,0.0581605393811964,0.0676398862442826,0.0797796626301394,82.6086956521739,-0.170484416072099,0.227941176470588
2014-09-30,5,50,234,0.0344805074663051,0.0288629609997356,0.099952847214053,62,-0.198442972858785,0.30243161094225
2014-10-31,1,46,230,0.0345028868894924,0.042809015498091,0.114821931071293,58.695652173913,-0.259686727122836,0.354838709677419
2014-10-31,2,46,230,0.0283722444295361,0.0164040270586804,0.0829756063368088,56.5217391304348,-0.135147817925856,0.285577383804503
2014-10-31,3,46,230,0.0456969524119508,0.0206141779822154,0.112811323936492,67.3913043478261,-0.130407523510972,0.427620632279535
2014-10-31,4,46,230,0.0517395694006107,0.0613879377105163,0.0956944052934069,65.2173913043478,-0.101319014824326,0.369100443727309
2014-10-31,5,46,230,0.018855942502005,-0.0029489614920219,0.126218562695953,47.8260869565217,-0.284086021505376,0.451043916486682
2014-11-28,1,46,231,0.0265481900336699,0.0281603860404447,0.0964579693378796,63.0434782608696,-0.21380846325167,0.221099434114794
2014-11-28,2,46,231,0.0160442703296945,0.00302398867654885,0.0971837817947256,54.3478260869565,-0.223343373493976,0.262982372558361
2014-11-28,3,46,231,-0.00706468811618899,-0.00322191549155648,0.0904656256056576,47.8260869565217,-0.219020172910663,0.180157946692992
2014-11-28,4,46,231,-0.0147030588366149,-0.0135669331764967,0.077537654179408,39.1304347826087,-0.22243807673628,0.187114607697215
2014-11-28,5,47,231,0.00542097096744593,-0.0030348176350492,0.0764590979529176,48.936170212766,-0.116825396825397,0.26043557168784
2014-12-31,1,48,241,0.0284694580064228,0.0162676499775832,0.0943662351361431,62.5,-0.136570718575274,0.224602626123013
2014-12-31,2,48,241,0.0478536916088836,0.0411126702953217,0.0988982491886672,64.5833333333333,-0.132698445921197,0.28032786885246
2014-12-31,3,48,241,0.0326424238261681,0.0180236324314281,0.0872819311242142,62.5,-0.143053645116919,0.212055192447349
2014-12-31,4,48,241,0.0419962293562623,0.032603914221537,0.108508356880263,58.3333333333333,-0.225788497217069,0.320405101275319
2014-12-31,5,49,241,0.00799909868196808,-0.00740846274398055,0.102117357485165,46.9387755102041,-0.260605440087369,0.255916992584622
2015-01-30,1,46,230,0.0115743108964396,-0.0128549579190061,0.107769648062594,41.304347826087,-0.156365883807169,0.515243902439024
2015-01-30,2,46,230,0.0526972157353818,0.0043014754170132,0.169807883437013,52.1739130434783,-0.124302086394358,0.72375296912114
2015-01-30,3,46,230,-0.0013476725248552,-0.013427846652369,0.091329585315721,43.4782608695652,-0.18905601659751,0.347457627118644
2015-01-30,4,46,230,0.000326386188653998,-0.0030855327202613,0.0821933535390122,43.4782608695652,-0.27680737506065,0.181040892193308
2015-01-30,5,46,230,-0.025825652875704,-0.033581190952664,0.0928130865482538,32.6086956521739,-0.255839022637442,0.273657289002557
2015-02-28,1,48,241,-0.0159437251380718,-0.0276269179516257,0.132959572850929,37.5,-0.232729711602951,0.538232373386295
2015-02-28,2,48,241,-0.0451525506773313,-0.0531199740413645,0.075570470085986,27.0833333333333,-0.165571870170015,0.148313321898228
2015-02-28,3,48,241,-0.0428892506170484,-0.0482704308264766,0.068744605838716,20.8333333333333,-0.162143891839691,0.126951600312256
2015-02-28,4,48,241,-0.000132940620521424,-0.0174884042468144,0.111655014744739,43.75,-0.202270381836945,0.421809811537908
2015-02-28,5,49,241,-0.0143563505849331,-0.0271570283970132,0.0899373336200571,42.8571428571429,-0.201915528340399,0.161156244095976
2015-03-31,1,47,236,-0.0548566294012123,-0.0492952494593182,0.100764914304005,27.6595744680851,-0.3281677301732,0.184820193637621
2015-03-31,2,47,236,-0.041732508927322,-0.0487121624776284,0.0737752592998989,23.4042553191489,-0.212297989751675,0.129402453502176
2015-03-31,3,47,236,-0.0347084485010698,-0.0300289435600579,0.0547322812954862,23.4042553191489,-0.155572957452362,0.113414886999792
2015-03-31,4,47,236,-0.042865051628544,-0.0457404230989135,0.0532055793047343,19.1489361702128,-0.161354127044504,0.10091743119266
2015-03-31,5,48,236,-0.0568808523125374,-0.0462191929470338,0.107364244344173,22.9166666666667,-0.442356526155409,0.151815181518152
2015-04-30,1,48,240,0.0283797024290887,0.0275551017652816,0.0814751964768114,70.8333333333333,-0.204059362723702,0.234124792932082
2015-04-30,2,48,240,0.0225760234047198,0.0174506888871673,0.0833385128216263,60.4166666666667,-0.150850077279753,0.243856061421447
2015-04-30,3,48,240,0.0245626418248626,0.01442768912863,0.0747764479617986,64.5833333333333,-0.143064633260712,0.205861705861706
2015-04-30,4,48,240,0.0378062401222105,0.0416627602666887,0.0906909070706168,68.75,-0.142988717476399,0.345522990051089
2015-04-30,5,48,240,0.0333712393072871,0.0223568030459581,0.107555728901258,60.4166666666667,-0.22204786190663,0.305969230769231
2015-05-29,1,44,220,0.0261896660653402,0.0360690575370998,0.112730768888209,56.8181818181818,-0.226758663623158,0.424422471511551
2015-05-29,2,44,220,-0.00559201878531702,-0.00848890692640664,0.080108724347978,40.9090909090909,-0.151245895306162,0.292284866468842
2015-05-29,3,44,220,-0.0307797134652445,-0.0212803518617947,0.116017821536942,40.9090909090909,-0.618617261635788,0.139953542392566
2015-05-29,4,44,220,-0.0392206682487431,-0.0328859973718152,0.116135690726205,31.8181818181818,-0.384090909090909,0.27106993424985
2015-05-29,5,44,220,-0.0332945394646841,-0.0389120448525599,0.102357046473912,36.3636363636364,-0.255052264808362,0.196668649613325
2015-06-30,1,40,204,0.0608427449790236,0.0417866152696711,0.125881522637257,62.5,-0.214693790378557,0.568874868559411
2015-06-30,2,40,204,0.0205768666997057,0.0116833333333333,0.0785016582032536,55,-0.131227529532614,0.202074982315491
2015-06-30,3,40,204,0.0393850009807869,0.0370966782578478,0.0964528772918065,62.5,-0.148767188240872,0.292741165234002
2015-06-30,4,40,204,0.0385452546154649,0.0152578328981723,0.0917244014936867,60,-0.0997097242380259,0.427312775330396
