"date","quintile","n_stocks","n_universe","mean_ret","median_ret","sd_ret","pct_positive","min_ret","max_ret"
2014-10-31,1,38,193,0.0178939143744535,0.0166377639161797,0.122321578748014,57.8947368421053,-0.283315392895587,0.335689045936395
2014-10-31,2,38,193,0.0301609828383393,0.0273257518985586,0.0840702330658748,63.1578947368421,-0.216661967860163,0.2195421390915
2014-10-31,3,38,193,0.0145759393060724,0.0130899911612553,0.0712615784651636,60.5263157894737,-0.146350881709358,0.161808896504524
2014-10-31,4,38,193,0.0278968894698343,0.0121250915900922,0.0912690429706463,57.8947368421053,-0.17342073897497,0.30212929215423
2014-10-31,5,41,193,0.0217957647787823,0.0046796256299495,0.0937245553624287,51.219512195122,-0.164897609091884,0.238079172289699
2014-11-28,1,39,199,0.0214625045908038,0.0268218623481782,0.0887041996365327,64.1025641025641,-0.193452380952381,0.162544169611308
2014-11-28,2,39,199,0.0206524157125787,0.0216478068349544,0.0975555272883514,58.974358974359,-0.185050568900126,0.247412008281573
2014-11-28,3,39,199,0.00202905695341223,-0.0062630480167013,0.0680461165726035,48.7179487179487,-0.112113402061856,0.141833810888253
2014-11-28,4,39,199,-0.0194604904458828,-0.0258823529411762,0.058531533334842,30.7692307692308,-0.139319727891157,0.135208711433756
2014-11-28,5,43,199,0.0127072518865711,0.0112137203166227,0.0932206956925919,60.4651162790698,-0.199099549774888,0.224410669975187
2014-12-31,1,40,204,0.0227078422945554,0.0108878475175341,0.0896606258726457,57.5,-0.143053645116919,0.224602626123013
2014-12-31,2,40,204,0.0290352846071225,0.0201273663312458,0.105412582157602,57.5,-0.136570718575274,0.236744759556103
2014-12-31,3,40,204,0.0610308884561688,0.0813885017363968,0.0913394722018821,72.5,-0.121375,0.28032786885246
2014-12-31,4,40,204,0.0387221104564668,0.0187863307881999,0.0894972864261324,62.5,-0.148890479599141,0.320405101275319
2014-12-31,5,44,204,0.00674501104935147,-0.0065801557762632,0.1122902082884,47.7272727272727,-0.260605440087369,0.264841942945258
2015-01-30,1,40,202,0.0196109767733847,-0.00524772941186552,0.108346188309764,42.5,-0.149350649350649,0.491
2015-01-30,2,40,202,0.0269541269292136,0.00733469940866749,0.0909856791373453,52.5,-0.14004914004914,0.359868421052632
2015-01-30,3,40,202,0.00638143120821859,-0.0102584525523593,0.11519542151535,45,-0.191571871768356,0.464438994481913
2015-01-30,4,40,202,-0.0100544298489337,-0.0131666789596472,0.0716922689424786,40,-0.143891839690971,0.124975879590918
2015-01-30,5,42,202,-0.0225985820217852,-0.050653434894204,0.145909658336407,35.7142857142857,-0.278557599225556,0.717633136094675
2015-02-28,1,43,218,-0.0252720452629468,-0.0368385800401875,0.122658991468728,34.8837209302326,-0.236934642900449,0.476644423260247
