"date","NIFTY500_MOM50_TR","Q1_LIQC"
2014-09-30,0.0865621370915286,0.049723076720509
2014-10-31,0.0439467252505836,0.0445445710380936
2014-11-28,0.0477133955468483,0.014970009081557
2014-12-31,0.0158808270121693,0.035512142960693
2015-01-30,0.0740078019498951,0.0364704204160584
2015-02-28,0.0126131715273503,0.0429341269209169
2015-03-31,0.0259783821028319,-0.0159738821662341
2015-04-30,-0.0628155217660183,-0.0760098167778193
2015-05-29,0.0484067208237573,-0.00626467946732057
2015-06-30,-0.00687291420759939,0.0110191728549918
2015-07-31,0.0789272260250646,0.0536897862744932
2015-08-31,-0.0586141343452015,-0.107125547784412
2015-09-30,-0.000638271624803566,0.0499831925631216
2015-10-30,0.00977608655982642,0.00460325685603258
2015-11-30,-0.0147981018034991,0.0313774353999803
2015-12-31,0.0121466772647001,-0.0274679584279699
2016-01-29,-0.0572781422536903,-0.088528506867788
2016-02-29,-0.0919609984649292,-0.14115976756643
2016-03-31,0.0901317038898877,0.131345799280607
2016-04-29,0.0160711769790529,0.0524339964615563
2016-05-31,-0.0130259131630773,0.0177963127603553
2016-06-30,0.0266946767277592,0.0942111071690952
2016-07-29,0.0655419249374971,0.0746542990509715
2016-08-31,0.0380401912812738,-0.0131346953634299
2016-09-30,0.0037909248519159,0.00421384103996947
2016-10-28,0.0504349969562292,0.0562496636062613
2016-11-30,-0.0738134211386168,-0.141710593639808
2016-12-30,-0.0488666159361439,-0.0243394958618577
2017-01-31,0.136072748448944,0.0476537889155668
2017-02-28,0.060991785851729,-0.0106842666599847
2017-03-31,0.0551368852465108,0.0613344219968783
2017-04-28,0.0490483791662029,0.0414255760350799
2017-05-31,-0.0150315000073868,-0.0424800919460241
2017-06-30,-0.009948044103541,-0.0429627077108309
2017-07-31,0.0716078524805661,0.0238342758745096
2017-08-31,0.0409723560936108,0.0341941836832347
2017-09-29,-0.00498153683189062,0.00761291080673754
2017-10-31,0.0988472075398659,0.0680119417458478
2017-11-30,-0.00523021942193203,0.0338864277512634
2017-12-29,0.0738118061431987,0.0813853397706632
2018-01-31,-0.0271955713316238,-0.0441611205472643
2018-02-28,-0.0414477819775384,0.0175397907213242
2018-03-28,-0.0329259369050376,-0.058524880775774
2018-04-30,0.110593001297619,0.0570414761748312
2018-05-31,-0.0625828541513621,-0.0498169895553509
2018-06-29,-0.0324622756864241,-0.0478606685656705
2018-07-31,0.0632032793276094,0.0404733412514777
2018-08-31,0.0629141084317635,0.0610355062789365
2018-09-28,-0.111412654525983,-0.154251125977287
2018-10-31,-0.0269880017915904,0.0213320770897663
2018-11-30,0.0192012691274273,-0.00177940628580409
2018-12-31,-0.0124323111548412,0.0265550863372275
2019-01-31,0.0310053107989408,-0.0529465633033653
2019-02-28,-0.00407631785633911,-0.00681575331552375
2019-03-29,0.0436429334028183,0.0897667267413516
2019-04-30,0.0280400624401369,-0.00928731867697041
2019-05-31,-0.0188803940816825,0.0435721482625167
2019-06-28,-0.0111391140625567,-0.037385964975557
2019-07-31,-0.0823622192020858,-0.0962152041054314
2019-08-30,-0.00628326915881061,-0.0784817616091978
2019-09-30,0.0507923030812087,0.110908384562812
2019-10-31,0.0329767076997303,0.0583504990096426
2019-11-29,0.0114579530411758,0.0053619510707652
2019-12-31,0.0111093844541355,-0.0172803204795156
2020-01-31,0.0291711047652647,-0.0196515922398544
2020-02-28,-0.0320025863241237,-0.132504857960511
2020-03-31,-0.224095333153316,-0.224151012746756
2020-04-30,0.158483534521322,0.153883081247662
2020-05-29,-0.0198510140168445,0.0132733644292109
2020-06-30,0.0618573202978523,0.130222017411975
2020-07-31,0.0752149566347338,0.0483981149429427
2020-08-31,0.0184285845479855,0.109861583018117
