IndexName,URL,FactsheetURL,BaseDate,LaunchDate,FundName,SchemeCode,FundStartDate,MatchScore,TotalAUM_Cr,IndexSchemeCount,AUM_Period
NIFTY 100 LOW VOLATILITY 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-100-low-volatility,https://www.niftyindices.com/Factsheet/Nifty100_LowVolatility30.pdf,2005-04-01,2016-07-08,Kotak NIFTY 100 Low Volatility 30 Index Fund - Direct plan - Growth option,152663,2024-06-12,127,13462.00,4,2026-03-31
NIFTY 50 ARBITRAGE,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-arbitrage,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_50_Arbitrage_Index.pdf,2010-04-01,2016-07-08,NO MATCH,,,0,0.00,0,
NIFTY 50 FUTURES PR,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-futures-pr,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Futures.pdf,2005-04-01,2016-06-16,NO MATCH,,,0,0.00,0,
NIFTY 50 FUTURES TR,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-futures-tr,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Futures_TR.pdf,2005-04-01,2016-06-16,NO MATCH,,,0,0.00,0,
NIFTY200 MOMENTUM 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty200-momentum-30-index,https://www.niftyindices.com/Factsheet/Factsheet_Nifty200_Momentum30.pdf,2005-04-01,2020-08-25,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - GROWTH - DIRECT PLAN,150591,2022-09-05,120,88863.96,12,2026-03-31
NIFTY200 ALPHA 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty200-alpha-30,https://www.niftyindices.com/Factsheet/Factsheet_Nifty200Alpha30.pdf,2005-04-01,2022-07-21,Tata Nifty200 Alpha 30 Index Fund - Direct -Growth,152836,2024-09-11,117,19021.15,4,2026-03-31
NIFTY100 ALPHA 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty100-alpha30,https://www.niftyindices.com/Factsheet/Factsheet_Nifty100_Alpha30.pdf,2005-04-01,2019-06-28,NO MATCH,,,0,0.00,0,
NIFTY ALPHA 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-alpha-50,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_Alpha50.pdf,2003-12-31,2012-11-19,Bandhan Nifty Alpha 50 Index Fund - Direct Plan - Growth,152177,2023-11-10,108,52407.76,8,2026-03-31
NIFTY ALPHA LOW VOLATILITY 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-alpha-low-volatility-30,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY_Alpha_Low-Volatility_30.pdf,2005-04-01,2017-07-10,Nippon India Nifty Alpha Low Volatility 30 Index Fund - Direct Plan - Growth Option,150487,2022-08-22,123,148595.98,10,2026-03-31
NIFTY ALPHA QUALITY LOW VOLATILITY 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-alpha-quality-low-volatility30,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY_Alpha_Quality_Low-Volatility_30.pdf,2005-04-01,2017-07-10,NO MATCH,,,0,0.00,0,
NIFTY ALPHA QUALITY VALUE LOW VOLATILITY 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-alpha-quality-value-low-volatility30,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY_Alpha_Quality_Value_Low-Volatility_30.pdf,2005-04-01,2017-07-03,NO MATCH,,,0,0.00,0,
NIFTY DIVIDEND OPPORTUNITIES 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-dividend-opportunities-50,https://www.niftyindices.com/Factsheet/ind_Nifty_Divid_Opp50.pdf,2007-10-01,2011-03-22,NO MATCH,,,0,0.00,0,
NIFTY GROWTH SECTORS 15,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-growth-sectors-15,https://www.niftyindices.com/Factsheet/Nifty_Growth_Sectors15.pdf,2009-01-01,2014-05-22,NO MATCH,,,0,0.00,0,
NIFTY HIGH BETA 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-high-beta50,https://www.niftyindices.com/Factsheet/Factsheet_nifty_High_Beta50.pdf,2003-12-31,2012-11-19,NO MATCH,,,0,0.00,0,
NIFTY LOW VOLATILITY 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-low-volatility50,https://www.niftyindices.com/Factsheet/Factsheet_nifty_Low_Volatility50.pdf,2003-12-31,2012-11-19,Nippon India Nifty 500 Low Volatility 50 Index Fund - Direct Plan - Growth Option,153474,2025-05-08,117,2410.00,4,2026-03-31
NIFTY TOP 10 EQUAL WEIGHT,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-top-10-equal-weight,https://www.niftyindices.com/Factsheet/Factsheet_NiftyTop10EqualWeight.pdf,2006-03-02,2024-06-24,DSP Nifty Top 10 Equal Weight Index Fund - Direct - Growth,152814,2024-09-06,119,135566.64,6,2026-03-31
NIFTY TOP 15 EQUAL WEIGHT,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-top15-equal-weight,https://www.niftyindices.com/Factsheet/Factsheet_NiftyTop15EqualWeight.pdf,2006-03-02,2024-10-15,ICICI Prudential Nifty Top 15 Equal Weight Index Fund - Direct Plan - Growth,153614,2025-06-27,119,2649.71,4,2026-03-31
NIFTY TOP 20 EQUAL WEIGHT,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-top20-equal-weight,https://www.niftyindices.com/Factsheet/Factsheet_NiftyTop20EqualWeight.pdf,2006-03-02,2024-10-22,NO MATCH,,,0,8336.50,2,2026-03-31
NIFTY100 QUALITY 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty100-quality-30,https://www.niftyindices.com/Factsheet/Nifty100_Quality30.pdf,2009-10-01,2015-03-19,NO MATCH,,,0,15328.53,2,2026-03-31
NIFTY Midcap150 Momentum 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-midcap150-momentum-50,https://www.niftyindices.com/Factsheet/Factsheet_NiftyMidcap150Momentum50.pdf,2005-04-01,2022-08-16,Edelweiss Nifty Midcap150 Momentum 50 Index Fund - Direct Plan - Growth,150902,2022-12-02,127,140763.48,4,2026-03-31
Nifty500 Flexicap Quality 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty500-flexicap-quality-30,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500_Flexicap_Quality_30.pdf,2009-10-01,2025-04-04,DSP Nifty500 Flexicap Quality 30 Index Fund - Direct - Growth,153801,2025-09-01,128,12417.03,4,2026-03-31
NIFTY500 LOW VOLATILITY 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty500-low--volatility-50,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500LowVolatility50.pdf,2005-04-01,2024-12-20,NO MATCH,,,0,0.00,0,
NIFTY500 MOMENTUM 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty500--momentum--50,https://www.niftyindices.com/Factsheet/FactsheetNifty500Momentum50.pdf,2005-04-01,2024-06-04,Axis Nifty500 Momentum 50 Index Fund - Direct Plan - Growth Option,153244,2025-02-18,120,14035.93,6,2026-03-31
NIFTY500 QUALITY 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty500--quality-50,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500Quality50.pdf,2005-04-01,2024-12-20,Axis Nifty500 Quality 50 Index Fund - Direct Plan - Growth Option,153829,2025-09-15,119,7137.43,2,2026-03-31
NIFTY500 MULTIFACTOR MQVLv 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty500-multifactor--mqvlv-50,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500MultifactorMQVLv50.pdf,2005-04-01,2025-02-06,NO MATCH,,,0,0.00,0,
NIFTY Midcap150 Quality 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-midcap150-quality-50,https://www.niftyindices.com/Factsheet/Factsheet_NIFTYMidcap150_Quality50.pdf,2005-04-01,2019-10-24,NO MATCH,,,0,0.00,0,
Nifty Smallcap250 Quality 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-smallcap250-quality50,https://www.niftyindices.com/Factsheet/Factsheet_NiftySmallcap250Quality50.pdf,2005-04-01,2023-03-15,DSP Nifty Smallcap250 Quality 50 Index Fund - Direct - Growth,152243,2023-12-27,128,28233.46,4,2026-03-31
Nifty Total Market Momentum Quality 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-total-market-momentum-quality-50,https://www.niftyindices.com/Factsheet/Factsheet_NiftyTotalMarketMomentumQuality50.pdf,2005-04-01,2025-08-06,ANGEL ONE NIFTY TOTAL MARKET MOMENTUM QUALITY 50 INDEX FUND - DIRECT GROWTH,153956,2025-11-27,138,3202.50,2,2026-03-31
NIFTY500 MULTICAP MOMENTUM QUALITY 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty500-multicap-momentum-quality50,https://www.niftyindices.com/Factsheet/Factsheet_Nifty500MulticapMQ50.pdf,2005-04-01,2024-09-04,Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund - Direct - Growth,152985,2024-11-05,137,50342.72,4,2026-03-31
Nifty MidSmallcap400 Momentum Quality 100,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-midsmallcap400-momentum-quality-100,https://www.niftyindices.com/Factsheet/Factsheet_NiftyMidSmallcap400MomentumQuality100.pdf,2005-04-01,2024-02-08,NO MATCH,,,0,0.00,0,
Nifty Smallcap250 Momentum Quality 100,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-smallcap250-momentum-quality-100,https://www.niftyindices.com/Factsheet/Factsheet_NiftySmallcap250MomentumQuality100.pdf,2005-04-01,2023-12-21,NO MATCH,,,0,0.00,0,
NIFTY QUALITY LOW VOLATILITY 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-quality-low-volatility30,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY_Quality_Low-Volatility_30.pdf,2005-04-01,2017-07-10,NO MATCH,,,0,0.00,0,
NIFTY50 DIVIDEND POINTS,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-dividend-points,https://www.niftyindices.com/Factsheet/Nifty50_Dividend_Points.pdf,Not in factsheet,Not in factsheet,NO MATCH,,,0,0.00,0,
NIFTY50 EQUAL WEIGHT,https://www.niftyindices.com/indices/equity/strategy-indices/nifty50-equal-weight,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY50_Equal_Weight.pdf,1995-11-03,2017-04-13,HDFC NIFTY50 Equal weight Index Fund - Direct Plan - Growth Option,149107,2021-08-20,120,301012.52,12,2026-03-31
NIFTY50 USD,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-usd,,NO FACTSHEET,NO FACTSHEET,NO MATCH,,,0,0.00,0,
NIFTY50 PR 1X INVERSE,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-pr-1x-inverse,https://www.niftyindices.com/Factsheet/Nifty50_PR_1X_Inverse.pdf,2009-04-02,2014-10-10,NO MATCH,,,0,0.00,0,
NIFTY50 PR 2X LEVERAGE,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-pr-2x-leverage,https://www.niftyindices.com/Factsheet/Nifty50_PR_2X_Leverage.pdf,2009-04-02,2014-10-10,NO MATCH,,,0,0.00,0,
NIFTY50 TR 1X INVERSE,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-tr-1x-inverse,https://www.niftyindices.com/Factsheet/Nifty50_TR_1X_Inverse.pdf,2009-04-02,2014-06-30,NO MATCH,,,0,0.00,0,
NIFTY50 TR 2X LEVERAGE,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-tr-2x-leverage,https://www.niftyindices.com/Factsheet/Nifty50_TR_2X_Leverage.pdf,2009-04-02,2014-06-30,NO MATCH,,,0,0.00,0,
NIFTY50 VALUE 20,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-50-value-20,https://www.niftyindices.com/Factsheet/Nifty50_Value20.pdf,2009-01-01,2014-03-28,ICICI Prudential Nifty50 Value 20 Index Fund - Direct Plan - Growth,152365,2024-02-05,116,10622.54,4,2026-03-31
Nifty200 Value 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty200-value30,https://www.niftyindices.com/Factsheet/Factsheet_Nifty200_Value30.pdf,2005-04-01,2024-06-12,ICICI Prudential Nifty200 Value 30 Index Fund - Direct Plan - Growth,152936,2024-10-21,117,16358.10,8,2026-03-31
NIFTY500 VALUE 50,https://www.niftyindices.com/indices/equity/strategy-indices/nifty500-value50,https://www.niftyindices.com/Factsheet/FactsheetNIFTY500Value50.pdf,2005-04-01,2018-10-24,Axis Nifty500 Value 50 Index Fund - Direct Plan - Growth Option,152949,2024-10-30,117,13373.70,2,2026-03-31
NIFTY500 EQUAL WEIGHT,https://www.niftyindices.com/indices/equity/strategy-indices/nifty500--equal--weight,https://www.niftyindices.com/Factsheet/Factsheet_Nifty_500_Equal_Weight.pdf,2005-04-01,2024-05-31,NO MATCH,,,0,0.00,0,
NIFTY200 Quality 30,https://www.niftyindices.com/indices/equity/strategy-indices/nifty200-quality-30,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY200_Quality30.pdf,2005-04-01,2018-04-17,SBI Nifty200 Quality 30 Index Fund-Direct Plan- Growth,153555,2025-06-10,119,31825.61,8,2026-03-31
NIFTY50 & Short Duration Debt – Dynamic P/B,https://www.niftyindices.com/indices/equity/strategy-indices/nifty50-short-duration-debt-dynamic-p-b,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY_50_and_Short_Duration_Debt_Dynamic_PB_Index.pdf,2005-04-01,Not in factsheet,NO MATCH,,,0,0.00,0,
NIFTY50 & Short Duration Debt – Dynamic P/E,https://www.niftyindices.com/indices/equity/strategy-indices/nifty50-short-duration-debt-dynamic-p-e,https://www.niftyindices.com/Factsheet/Factsheet_NIFTY_50_and_Short_Duration_Debt_Dynamic_PE_Index.pdf,2005-04-01,Not in factsheet,NO MATCH,,,0,0.00,0,
NIFTY Equity Savings,https://www.niftyindices.com/indices/equity/strategy-indices/nifty-equity-savings,https://www.niftyindices.com/Factsheet/Nifty_ESI_Factsheet.pdf,2005-04-01,2018-04-24,NO MATCH,,,0,0.00,0,
