"","Annualized Sharpe Ratio (Rf=0%)","Annualized Return"
"MOM_0",0.85756821166934,18.1756387307425
"MOM_1",0.882549457144613,19.4305959901514
"MOM_2",0.906546941859244,18.71608622384
"MOM_3",0.812449534921645,17.2378506222336
"MOM_4",0.716284196238381,15.4368089542225
"MOM_5",0.781086360902187,16.8787711864587
"MOM_6",0.684096608408831,14.4780912258161
"MOM_7",0.690592084001484,15.1221277633361
"MOM_8",0.540894107068075,12.3498795564996
"MOM_9",0.509124711398682,11.4438350035497
"MOM_10",0.597925135899391,13.3397499225062
"MOM_11",0.548640299059439,12.3553460082099
"BENCH",0.620372568844762,10.9609625107299
