"INDEX","YEARS","L_MA","SMA_50","SMA_100","SMA_200","SMA_500"
"NIFTY BANK","2010/2014","3","-1.25","-1.99","-4.55","-0.89"
"NIFTY BANK","2011/2015","3","-1.96","-1.6","-2.96","0.76"
"NIFTY BANK","2012/2016","3","-2.9","-1.79","-3.52","0.07"
"NIFTY BANK","2013/2017","3","-3.15","-2.69","-4.72","-0.15"
"NIFTY BANK","2014/2018","3","-4.72","-2.57","-3.85","0.51"
"NIFTY BANK","2002/2006","5","-6.09","-10.95","-12.63","-16.15"
"NIFTY BANK","2003/2007","5","-7.12","-12.49","-16.29","-25.8"
"NIFTY BANK","2004/2008","5","-3.15","-3.26","5.1","6.77"
"NIFTY BANK","2005/2009","5","-4.57","-5.83","4.89","-0.98"
"NIFTY BANK","2006/2010","5","-4.37","-6.27","4.81","-7.31"
"NIFTY BANK","2007/2011","5","-1.66","-3.34","10.51","7.03"
"NIFTY BANK","2008/2012","5","-2.92","-4.6","-1.46","-8.32"
"NIFTY BANK","2009/2013","5","-3.89","-5.3","-8.97","-5.96"
"NIFTY BANK","2010/2014","5","-2","-3.13","-5.31","-0.84"
"NIFTY BANK","2011/2015","5","-2.36","-2.54","-4.08","0.64"
"NIFTY BANK","2012/2016","5","-2.88","-2.03","-4.19","-0.24"
"NIFTY BANK","2013/2017","5","-2.76","-2.84","-4.94","-0.34"
"NIFTY BANK","2014/2018","5","-3.57","-2.15","-3.81","0.45"
"NIFTY BANK","2002/2006","10","-7.47","-11.57","-9.79","-16.41"
"NIFTY BANK","2003/2007","10","-8.79","-12.76","-11.78","-25.26"
"NIFTY BANK","2004/2008","10","-3.56","-0.65","6.33","7.28"
"NIFTY BANK","2005/2009","10","-3.43","-2.7","4.14","0.14"
"NIFTY BANK","2006/2010","10","-3.6","-2.2","4.71","-6.14"
"NIFTY BANK","2007/2011","10","-0.86","0.85","9.3","7.73"
"NIFTY BANK","2008/2012","10","-2.12","-4","-2.95","-9.87"
"NIFTY BANK","2009/2013","10","-4.14","-7.2","-11.57","-8.59"
"NIFTY BANK","2010/2014","10","-2.6","-6.03","-7.9","-3.58"
"NIFTY BANK","2011/2015","10","-3.19","-4.8","-5.35","-1.28"
"NIFTY BANK","2012/2016","10","-2.9","-3.94","-5.09","-1.27"
"NIFTY BANK","2013/2017","10","-3.4","-4.83","-5.25","-3.61"
"NIFTY BANK","2014/2018","10","-2.6","-4.73","-3.08","-2.04"
"NIFTY MIDCAP 100","2003/2007","3","-11.92","-10.41","-13.59","-67.94"
