"INDEX","YEARS","THRESHOLD","DD_50","DD_100","DD_200","DD_500"
"NIFTY MIDCAP 100","1999/2003","-20","-45.24","-45.24","-24.53","-25.43"
"NIFTY MIDCAP 100","2003/2007","-25","-19.11","-18.79","-17.31","-17.31"
"NIFTY MIDCAP 100","2002/2006","-25","-15.76","-15.6","-13.98","-13.98"
"NIFTY MIDCAP 100","2001/2005","-25","-21.01","-21.01","-18.99","-18.99"
"NIFTY MIDCAP 100","2000/2004","-25","-18.26","-18.26","-16.42","-16.42"
"NIFTY MIDCAP 100","1999/2003","-25","-45.24","-45.24","-45.24","-45.24"
"NIFTY SMLCAP 100","2005/2009","-5","-2.37","-2.01","-1.51","-1.42"
"NIFTY SMLCAP 100","2004/2008","-5","-2.28","-2.03","-2.03","-2.03"
"NIFTY SMLCAP 100","2003/2007","-5","-3.62","-3.19","-3.18","-3.18"
"NIFTY SMLCAP 100","2002/2006","-5","-5.04","-4.31","-4.3","-4.3"
"NIFTY SMLCAP 100","2001/2005","-5","-1.67","-1.67","-1.67","-1.67"
"NIFTY SMLCAP 100","2005/2009","-10","-1.49","-0.95","-0.06","-0.12"
"NIFTY SMLCAP 100","2004/2008","-10","-0.16","-0.18","-0.18","-0.18"
"NIFTY SMLCAP 100","2003/2007","-10","-1.72","-1.39","-1.39","-1.39"
"NIFTY SMLCAP 100","2002/2006","-10","-2.88","-1.69","-1.69","-1.69"
"NIFTY SMLCAP 100","2001/2005","-10","-1.67","-1.67","-1.67","-1.67"
"NIFTY SMLCAP 100","2005/2009","-15","-2.97","-3.21","-2.59","-1.57"
"NIFTY SMLCAP 100","2004/2008","-15","-1.51","-2.24","-2.24","-2.24"
"NIFTY SMLCAP 100","2003/2007","-15","-9.68","-9.35","-9.35","-9.35"
"NIFTY SMLCAP 100","2002/2006","-15","-3.33","-2.43","-2.43","-2.43"
"NIFTY SMLCAP 100","2001/2005","-15","-1.67","-1.67","-1.67","-1.67"
"NIFTY SMLCAP 100","2005/2009","-20","-8.87","-9.64","-6.37","-5.31"
"NIFTY SMLCAP 100","2004/2008","-20","-6.3","-7.5","-7.58","-7.58"
"NIFTY SMLCAP 100","2003/2007","-20","-22.73","-21.46","-21.46","-21.46"
"NIFTY SMLCAP 100","2002/2006","-20","1.35","2.17","2.17","2.17"
"NIFTY SMLCAP 100","2001/2005","-20","-1.67","-1.67","-1.67","-1.67"
"NIFTY SMLCAP 100","2005/2009","-25","-9.94","-6.17","-2.87","-1.96"
"NIFTY SMLCAP 100","2004/2008","-25","0.14","-2.39","-2.79","-2.79"
"NIFTY SMLCAP 100","2003/2007","-25","-19.7","-19.55","-19.55","-19.55"
"NIFTY SMLCAP 100","2002/2006","-25","6.6","6.71","6.71","6.71"
"NIFTY SMLCAP 100","2001/2005","-25","-1.67","-1.67","-1.67","-1.67"
