"win","tilt","SR_diff","ShortPct"
63,0.5,-0.359224460561178,0
126,0.5,-0.317827269213823,0
189,0.5,-0.217021313179118,0
252,0.5,-0.235716771764772,0
63,1,-0.359224460561178,0
126,1,-0.317827269213823,0
189,1,-0.217021313179118,0
252,1,-0.235716771764772,0
63,1.5,-0.359224460561178,13.6439665471924
126,1.5,-0.318316445781283,13.9737991266376
189,1.5,-0.222784809363784,13.3284060113328
252,1.5,-0.240229621938024,13.9389389389389
63,2,-0.359224460561178,21.816009557945
126,2,-0.326057844525162,21.7612809315866
189,2,-0.235512387144842,21.8773096821877
252,2,-0.251761958840757,22.1971971971972
