"index","mf","beta","alpha","ir","time_stamp","SCHEME_CODE"
47.0725780101289,17.0741324921136,0.918147352738472,-0.00108822223863543,-0.667252186933367,2010-01-29,102528
44.5160573397043,15.3395784543326,0.918067942378442,-0.00108191803242446,-0.656741902947192,2010-02-06,102528
52.7793521842264,20.5517792882848,0.919304796348143,-0.0011142537570286,-0.70106892122731,2010-02-11,102528
45.0383598282604,15.6093810073049,0.91906173658677,-0.00108452715709912,-0.662444097969028,2010-02-19,102528
39.4094706437274,12.3174840883565,0.919201491011773,-0.00104780435042778,-0.62566678744211,2010-02-26,102528
44.4278355913966,15.0600218261187,0.91898355260928,-0.00109144617416185,-0.664023705615117,2010-03-05,102528
44.1988737916321,13.5232600072125,0.919291016653449,-0.00115328744422107,-0.700504958642926,2010-03-12,102528
65.9303480415159,28.3286118980171,0.9197885359425,-0.00118353788147681,-0.78018475521282,2010-03-19,102528
71.9260822705225,32.0613853172958,0.919957556868949,-0.00120496244985292,-0.807877032258272,2010-03-26,102528
82.5013205000292,45.0133570792521,0.917164870361979,-0.00101312939356795,-0.723363214209675,2010-04-01,102528
114.13257845097,68.4820978315684,0.916826127499512,-0.000993900216984673,-0.786314543789151,2010-04-09,102528
113.38714693276,71.4728682170543,0.91616034215645,-0.000892935322950088,-0.720628173489524,2010-04-16,102528
99.3059629763701,60.5700712589074,0.91389128481075,-0.000904499186533018,-0.699516077359569,2010-04-23,102528
104.35526599318,63.1984585741812,0.913861758741278,-0.000938063512227661,-0.731520951712717,2010-04-30,102528
100.030894790366,58.4510472479299,0.914647180276622,-0.000990215465745203,-0.753256008640391,2010-05-07,102528
104.041107371733,59.7673291323316,0.914668158347793,-0.00103857876844821,-0.794137890168797,2010-05-14,102528
108.285372855514,66.9278996865204,0.911186590329434,-0.000908999896538899,-0.724033888365478,2010-05-21,102528
100.341252474731,59.8811292719168,0.910396318912212,-0.000948028732387019,-0.730033351111451,2010-05-28,102528
102.003328213005,57.2666025024062,0.909380334818464,-0.00106595408383882,-0.809509952881006,2010-06-04,102528
90.5271162504373,47.1274685816877,0.906775059144671,-0.00112866274534949,-0.82428293998052,2010-06-11,102528
86.9087294626671,45.6904133685137,0.907316456344899,-0.00109152206963977,-0.792675847157097,2010-06-18,102528
86.8491499692897,43.2560137457045,0.907106423465639,-0.00117521834329377,-0.846700325135806,2010-06-25,102528
85.9008822718498,46.3446475195823,0.90733343577853,-0.0010451054992401,-0.768472786834749,2010-07-02,102528
84.2805132531188,45.4005934718101,0.907517396118159,-0.00103849398365746,-0.7599659309281,2010-07-09,102528
85.662154989384,47.8242320819113,0.907525934165117,-0.000988045324201457,-0.734068835761664,2010-07-16,102528
86.6691043668072,48.4434968017058,0.907569983678238,-0.000991265408437186,-0.739033122037418,2010-07-23,102528
79.3675998849017,45.008389261745,0.9093182726541,-0.000928625779936163,-0.685057644116065,2010-07-30,102528
78.9819788688884,44.1333882256073,0.909175588825556,-0.000949552766580852,-0.696908694067942,2010-08-06,102528
82.4007957281958,42.8282009724474,0.908962617301163,-0.00108259616100258,-0.790240689804325,2010-08-13,102528
87.3473882945246,44.1200000000001,0.90920033011559,-0.0011599092416149,-0.855033173006202,2010-08-20,102528
80.8790119377089,38.1455399061034,0.909006923244422,-0.00121249968676931,-0.870619589957329,2010-08-27,102528
82.9886495298832,39.0835579514825,0.909180138977142,-0.00123180349055783,-0.889427276288226,2010-09-03,102528
82.8882872183022,41.4671227670088,0.909822729124299,-0.00114373129935748,-0.832055358152672,2010-09-09,102528
84.4371527498186,42.6504188880427,0.909811168802281,-0.00113877165756582,-0.834205186179711,2010-09-17,102528
82.6468114579724,38.4415584415585,0.90934018577333,-0.00124426057010362,-0.895323494914343,2010-09-24,102528
81.8679228721068,37.5045471080393,0.909206426989885,-0.00125825431447481,-0.90258574494085,2010-10-01,102528
84.4072948328265,40.5594405594406,0.909113324224107,-0.00121589628427591,-0.880691065451321,2010-10-08,102528
86.5049037703657,41.1786646773593,0.9093636109067,-0.00124517631147463,-0.90538265957044,2010-10-15,102528
88.3552906941979,37.5452570601014,0.909500211691974,-0.00142329922263199,-1.03514807456185,2010-10-22,102528
80.022116447906,30.0246392115453,0.910365217491045,-0.00149811450980334,-1.05325610395579,2010-10-29,102528
86.4797459976401,28.7559483344664,0.909801245260494,-0.00171270911558814,-1.22514903586731,2010-11-05,102528
80.9174031141205,25.7880617035547,0.908554727851522,-0.0016920988755931,-1.18959939315841,2010-11-12,102528
73.9776846129821,20.4244031830239,0.90886730779667,-0.00173335082697636,-1.19143330781135,2010-11-19,102528
63.4514281414879,15.3973509933775,0.907322174945478,-0.00166285393077807,-1.10747999087273,2010-11-26,102528
68.524354095172,18.405315614618,0.906579841653854,-0.00167404395872489,-1.12917927187954,2010-12-03,102528
60.833498672562,14.6220159151194,0.903847495473015,-0.00162641445598614,-1.06299248388261,2010-12-10,102528
65.2084385933134,18.209666439755,0.902980311147947,-0.00159425458971795,-1.06001929581347,2010-12-16,102528
73.9784795695912,23.9531582682754,0.903331588201357,-0.00159074562719771,-1.08831532414666,2010-12-24,102528
82.7998266361214,31.8534961154274,0.902523912498091,-0.00150524669560078,-1.0648742457128,2010-12-31,102528
82.2840268456374,32.4961360123648,0.901753965202918,-0.00147013820816655,-1.03960340606431,2011-01-07,102528
78.5423076504928,27.093786182941,0.90311285753148,-0.0015842535020827,-1.1024226675085,2011-01-14,102528
69.2419404676072,21.9265367316342,0.905665945336721,-0.00155251864084629,-1.05846046013348,2011-01-21,102528
