"ticker","st","ed","min_daily_return_val","min_daily_return_date","ret_1","ret_5","ret_10","ret_20","ret_50","ret_100","ret_200"
"3IINFOLTD",2016-01-01,2025-03-11,-0.9,2021-08-30,0,0,0,4.14201183431953,12.1183431952663,5.10650887573965,4.10059171597633
"63MOONS",2016-01-01,2025-03-11,-0.199663337239365,2017-12-07,0.0189874153177545,-0.0311189095599429,-0.00105743867436725,0.251583252960247,-0.000528719337184014,-0.098103582509268,-0.248521328886669
"A2ZINFRA",2016-01-01,2025-03-11,-0.199203187250996,2018-10-01,-0.099502487562189,-0.0398009950248757,0.213930348258706,0.213930348258706,0.27363184079602,0.517412935323383,0.0298507462686579
"AARVEEDEN",2016-01-01,2025-03-11,-0.199554069119287,2017-08-11,-0.0905292479108635,-0.0543175487465181,-0.0821727019498606,0.381615598885794,0.232590529247911,0.483286908077995,-0.0584958217270185
"ABREL",2016-01-01,2025-03-11,-0.195161774072339,2020-03-23,-0.0717648856815665,0.167858944807676,0.314658845154578,0.16152176143132,0.277856285996018,0.304745874131437,0.775577454114564
"ACLGATI",2016-01-01,2025-03-11,-0.199803907140286,2019-08-05,0.0991432981158524,-0.00979229887885624,-0.0195845977577126,-0.00122279468233388,0.447719313942595,0.435292538715619,0.00656879338497895
"ADANIENT",2016-01-01,2025-03-11,-0.281969859820044,2023-02-01,-0.266981981538588,0.0135341186440761,-0.166834472113594,-0.267426806592035,-0.131828521582452,0.118341275968245,0.0427153921186756
"ADANIPORTS",2016-01-01,2025-03-11,-0.211496575018151,2024-06-04,0.0845910564874492,0.12370391128548,0.159694143080187,0.209536010248609,0.19576444213139,0.0826694423315588,NA
"ADANIPOWER",2016-01-01,2025-03-11,-0.264563106796116,2020-03-12,0.0214521452145213,-0.108910891089109,-0.00660066006600646,-0.0330033003300331,0.201320132013201,0.209570957095709,0.655115511551155
"ADROITINFO",2016-01-01,2025-03-11,-0.26051020651216,2020-09-14,0.295464794176383,0.147748502222508,0.0795593635250915,0.636378277394833,0.454551310957933,1.15911872705018,2.19322940153321
"ADVANIHOTR",2016-01-01,2025-03-11,-0.199999111855179,2022-02-09,-0.0216623832229631,-0.0222480030640964,0.0878207725741185,0.0532775282957076,-0.0257617221108961,-0.174797808505088,-0.0148680828860234
"AGARIND",2016-01-01,2025-03-11,-0.197850884856351,2019-06-20,0.0997515804977727,0.270471270984706,0.20942956866284,0.172706009262573,0.234743464077711,0.0684009355924475,-0.340428069847888
"AHLUCONT",2016-01-01,2025-03-11,-0.19987583281597,2020-03-23,-0.106317274994923,-0.0707028625884633,-0.239406547969317,-0.0982585963578418,0.0189763004546186,0.310372391670009,0.375096990558719
"ALANKIT",2016-01-01,2025-03-11,-0.278140495867769,2019-10-25,0.0963230102848855,0.51833724502452,0.302745816398573,0.293567653176102,0.284399030663843,-0.165140153032992,0.646783826588051
"ALEMBICLTD",2016-01-01,2025-03-11,-0.19973703391405,2020-03-23,0.175207874960711,0.153720318884476,0.489256221961882,0.737191759293653,0.938844758122125,1.75683987198903,2.51809440809212
"ALPHAGEO",2016-01-01,2025-03-11,-0.199966522912113,2019-08-01,-0.199918772229948,-0.193740538810875,-0.197447478862319,-0.155241037254009,-0.211416193863611,-0.203108808290155,-0.348326831009317
"AMDIND",2016-01-01,2025-03-11,-0.197670980187842,2019-11-13,-0.0202940264541907,-0.0724652942312078,-0.0289872877141871,-0.118844954573907,0.0434780065170213,-0.43188426145305,0.00579160743431828
"ANANTRAJ",2016-01-01,2025-03-11,-0.199970064361623,2025-01-28,0.1,0.10420954162769,0.184190832553789,-0.0376052385406921,NA,NA,NA
"APARINDS",2016-01-01,2025-03-11,-0.199703250853433,2025-01-28,0.0150968119659312,0.00913057418068797,-0.0621018442365863,-0.101091486959309,NA,NA,NA
"ASAHISONG",2016-01-01,2025-03-11,-0.200001853413524,2020-03-23,-0.139840374390399,-0.187212575439897,-0.0268282229198283,0.0536506539089738,0.209476756982172,1.39440731173329,1.74828848448341
"ASAL",2016-01-01,2025-03-11,-0.195851128737035,2019-01-22,-0.0311077389984826,-0.193474962063733,-0.209408194233688,-0.348254931714719,-0.169954476479515,-0.332321699544765,-0.522761760242793
"ASHAPURMIN",2016-01-01,2025-03-11,-0.198945981554677,2024-10-28,-0.108347039473684,0.0191200657894739,-0.00781249999999967,0.164884868421053,0.992804276315789,NA,NA
"ASHOKA",2016-01-01,2025-03-11,-0.199882473950342,2016-04-06,0.0390575003514693,0.039057500351469,0.048268803599044,-0.00110558132995908,0.00663236327850436,0.172808097849008,0.359248699564178
"ASHOKLEY",2016-01-01,2025-03-11,-0.246273980494079,2020-03-19,-0.0853275685475539,-0.10822081854922,-0.206034806449391,-0.064516129032258,0.00624320967630831,0.281997560482481,1.34755348386652
"ASMS",2016-01-01,2025-03-11,-0.193548387096774,2019-06-19,-0.0666666666666667,-0.0133333333333332,0.0266666666666668,-0.0933333333333332,-0.293333333333333,-0.573333333333333,-0.76
"ASTRAL",2016-01-01,2025-03-11,-0.191298424271814,2020-03-23,0.0638138647268851,0.166168752907472,0.267595629780597,0.190116203672308,0.174328113864608,0.465405998998223,1.29726700669953
"ASTRAZEN",2016-01-01,2025-03-11,-0.191006590726545,2020-03-23,0.0658033521138663,0.179284596428483,0.345802310374949,0.453241734718528,0.792371601027815,0.747163055260796,1.29378924292953
"ATLANTAA",2016-01-01,2025-03-11,-0.199844128853481,2018-05-31,-0.147316764099951,0.00390389031327532,-0.0936579491589125,-0.258536316608653,-0.213657319499184,-0.398871728474984,-0.623188006556332
"AUTOIND",2016-01-01,2025-03-11,-0.19047619047619,2019-10-16,-0.0986717267552183,-0.148007590132827,-0.074003795066414,-0.00759013282732457,-0.0607210626185957,-0.411764705882353,0.430740037950665
"AVTNPL",2016-01-01,2025-03-11,-0.197531938405048,2020-07-29,-0.00897249969504355,0.128206448814735,0.169230560713463,0.239744649706564,0.188482129545547,0.203984765725593,0.565538553286076
"AXISBANK",2016-01-01,2025-03-11,-0.279107125281791,2020-03-23,-0.0178201375355745,0.192774100013165,0.26794081841956,0.308762651176171,0.360926049029758,0.444354328827371,1.1892097474397
"BAJAJFINSV",2016-01-01,2025-03-11,-0.258621271915013,2020-03-23,-0.0266824579270283,0.00867760124681549,-0.0027157497215381,-0.0500428945293477,0.149262116484405,0.372642292162176,0.938736200271357
"BAJAJHLDNG",2016-01-01,2025-03-11,-0.199986901500227,2020-03-23,-0.163931601652535,0.00879376081857197,0.109360929576324,0.0309837101897976,0.371613308590813,0.440457033220643,0.746514192222654
"BAJFINANCE",2016-01-01,2025-03-11,-0.232308001383783,2020-03-23,0.0918076054326438,-0.0106127730257192,0.0294553253027157,-0.127926135028106,0.0783045710051562,0.50912342989924,1.22500721949734
"BANARBEADS",2016-01-01,2025-03-11,-0.190931637253523,2019-10-09,-0.0305613074988906,-0.0747041857713355,-0.0407484099985208,0.129030468865553,-0.0373539417245971,0.0797958881822216,0.392186806685403
"BANCOINDIA",2016-01-01,2025-03-11,-0.19560092244856,2025-02-10,-0.0586015652480998,-0.118661600256935,-0.0923841183904834,-0.0770903458756172,NA,NA,NA
"BBTC",2016-01-01,2025-03-11,-0.195818625450821,2020-03-23,0.0230538325719665,0.16794308393536,0.319646326284944,0.535380992676917,0.794530588894317,1.48495967281946,1.21796768717618
"BEARDSELL",2016-01-01,2025-03-11,-0.218879424865203,2016-05-10,0,0.0375007145715427,-0.010418453095524,-0.0520851197621908,0.312503572857713,1.35156205339278,2.89740181787
